0,1,2,3,4,5,6,7,8,9,10,11,12,13,year
15,Seattle,8,545577,68197,101.8,8,548556,68569,97.9,16,1094133,68383,99.8,2013
16,New England,8,550048,68756,100.0,8,570769,71346,97.8,16,1120817,70051,98.9,2013
17,Tennessee,8,553144,69143,100.0,8,504663,63082,93.9,16,1057807,66112,97.0,2013
18,Philadelphia,8,553152,69144,102.3,8,588003,73500,98.6,16,1141155,71322,100.4,2013
19,San Francisco,8,557856,69732,99.3,7,474631,67804,95.8,15,1032487,68832,97.7,2013
20,Atlanta,8,561795,70224,98.6,7,480041,68577,97.2,15,1041836,69455,97.9,2013
21,Baltimore,8,569084,71135,100.2,8,536938,67117,96.9,16,1106022,69126,98.6,2013
22,Cleveland,8,569939,71242,97.3,8,552811,69101,97.6,16,1122750,70171,97.4,2013
23,Houston,8,573271,71658,100.9,8,530412,66301,96.1,16,1103683,68980,98.5,2013
24,New Orleans,8,583210,72901,99.9,8,540020,67502,97.2,16,1123230,70201,98.6,2013
25,Carolina,8,587544,73443,99.5,8,524685,65585,94.4,16,1112229,69514,97.0,2013
26,Kansas City,8,602877,75359,98.2,8,515130,64391,88.9,16,1118007,69875,93.7,2013
27,Denver,8,614977,76872,101.0,8,579168,72396,100.5,16,1194145,74634,100.7,2013
28,NY Jets,8,615656,76957,93.3,8,553452,69181,97.5,16,1169108,73069,95.2,2013
29,Washington,8,617767,77220,84.2,8,582240,72780,100.8,16,1200007,75000,91.5,2013
30,Green Bay,8,623577,77947,106.9,8,567628,70953,101.5,16,1191205,74450,104.2,2013
31,NY Giants,8,641184,80148,97.1,8,568348,71043,96.8,16,1209532,75595,97.0,2013
32,Dallas,8,704345,88043,110.1,8,575233,71904,97.7,16,1279578,79973,104.1,2013
2014 Attendance,2014 Attendance,Home,Home,Home,Home,Road,Road,Road,Road,Overall,Overall,Overall,Overall,2014
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,2014
1,Minnesota,8,417906,52238,104.5,8,522517,65314,94.7,16,940423,58776,98.8,2014
2,Los Angeles,8,456146,57018,87.3,8,543266,67908,95.0,16,999412,62463,91.3,2014
3,Oakland,8,459333,57416,102.5,8,554136,69267,99.4,16,1013469,63341,100.8,2014
4,Tampa Bay,8,477273,59659,90.9,8,546545,68318,95.2,16,1023818,63988,93.2,2014
5,Cincinnati,8,485628,60703,92.7,8,539538,67442,98.0,16,1025166,64072,95.4,2014
6,Chicago,8,493449,61681,100.3,8,556917,69614,100.9,16,1050366,65647,100.6,2014
7,Arizona,8,495835,61979,97.8,8,557491,69686,97.2,16,1053326,65832,97.4,2014
8,Pittsburgh,8,497811,62226,95.7,8,562731,70341,98.1,16,1060542,66283,97.0,2014
9,Jacksonville,7,440732,62961,93.7,8,542292,67786,95.1,15,983024,65534,94.5,2014
10,Detroit,8,504198,63024,97.7,7,475030,67861,100.5,15,979228,65281,99.0,2014
11,Indianapolis,8,523004,65375,103.8,8,578254,72281,99.0,16,1101258,68828,101.2,2014
12,Los Angeles,8,523457,65432,91.8,8,546072,68259,96.2,16,1069529,66845,94.0,2014
13,Cleveland,8,539400,67425,92.1,8,544455,68056,97.9,16,1083855,67740,94.9,2014
14,Buffalo,8,540180,67522,93.8,8,545794,68224,96.9,16,1085974,67873,95.3,2014
15,Seattle,8,547298,68412,99.5,8,559999,69999,100.7,16,1107297,69206,100.1,2014
16,New England,8,550048,68756,100.0,8,561935,70241,99.4,16,1111983,69498,99.7,2014
17,Tennessee,8,553144,69143,100.0,8,543722,67965,94.8,16,1096866,68554,97.3,2014
18,Philadelphia,8,556768,69596,103.0,8,596935,74616,100.6,16,1153703,72106,101.8,2014
19,Miami,8,560280,70035,92.7,7,485082,69297,98.3,15,1045362,69690,95.2,2014
20,Atlanta,7,493515,70502,99.0,8,543979,67997,98.1,15,1037494,69166,98.5,2014
21,San Francisco,8,566192,70774,103.3,8,563951,70493,98.9,16,1130143,70633,101.1,2014
22,Baltimore,8,568353,71044,100.1,8,527776,65972,95.6,16,1096129,68508,97.9,2014
23,Houston,8,574132,71766,101.0,8,541851,67731,96.2,16,1115983,69748,98.6,2014
24,New Orleans,8,584900,73112,100.2,8,549087,68635,99.0,16,1133987,70874,99.6,2014
25,Carolina,8,588861,73607,99.8,8,534452,66806,99.5,16,1123313,70207,99.7,2014
26,Kansas City,8,599743,74967,97.7,8,527508,65938,94.9,16,1127251,70453,96.3,2014
27,Denver,8,615517,76939,101.1,8,541250,67656,96.6,16,1156767,72297,98.9,2014
28,Washington,8,623715,77964,85.0,8,555591,69448,101.7,16,1179306,73706,92.2,2014
29,Green Bay,8,625114,78139,107.1,8,523446,65430,98.7,16,1148560,71785,103.1,2014
30,NY Jets,8,625280,78160,94.7,8,531954,66494,96.9,16,1157234,72327,95.7,2014
31,NY Giants,8,631738,78967,95.7,8,563631,70453,98.5,16,1195369,74710,97.0,2014
32,Dallas,8,720558,90069,112.6,7,488885,69840,96.9,15,1209443,80629,105.7,2014
2015 Attendance,2015 Attendance,Home,Home,Home,Home,Road,Road,Road,Road,Overall,Overall,Overall,Overall,2015
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,2015
1,Los Angeles,8,419220,52402,80.2,8,538450,67306,97.9,16,957670,59854,89.3,2015
2,Minnesota,8,419440,52430,99.8,8,538876,67359,99.1,16,958316,59894,99.4,2015
3,Oakland,8,436910,54613,86.5,8,534117,66764,95.9,16,971027,60689,91.4,2015
4,Detroit,8,490782,61347,94.4,8,534963,66870,98.4,16,1025745,64109,96.4,2015
5,Cincinnati,8,491118,61389,93.7,8,537000,67125,96.7,16,1028118,64257,95.2,2015
6,Jacksonville,7,430247,61463,91.5,8,542243,67780,96.1,15,972490,64832,94.0,2015
7,Tampa Bay,8,492480,61560,93.5,8,548916,68614,95.4,16,1041396,65087,94.5,2015
8,Chicago,8,496287,62035,100.9,8,523778,65472,97.6,16,1020065,63754,99.2,2015
9,Tennessee,8,498435,62304,90.1,8,546924,68365,96.9,16,1045359,65334,93.6,2015
10,Arizona,8,513487,64185,98.7,8,514959,64369,96.1,16,1028446,64277,97.4,2015
11,Pittsburgh,8,514854,64356,98.3,8,535858,66982,96.0,16,1050712,65669,97.1,2015
12,Indianapolis,8,528381,66047,104.8,8,539095,67386,97.0,16,1067476,66717,100.7,2015
13,Cleveland,8,529488,66186,90.4,8,532774,66596,94.4,16,1062262,66391,92.4,2015
14,Los Angeles,8,534180,66772,94.6,8,522277,65284,95.8,16,1056457,66028,95.2,2015
15,New England,8,534632,66829,97.2,8,601655,75206,98.1,16,1136287,71017,97.7,2015
16,Miami,8,537548,67193,102.9,8,555772,69471,95.0,16,1093320,68332,98.7,2015
17,Seattle,8,552162,69020,103.0,8,545769,68221,97.2,16,1097931,68620,100.0,2015
18,Philadelphia,8,555868,69483,102.8,8,598761,74845,97.4,16,1154629,72164,99.9,2015
19,Buffalo,8,559047,69880,95.6,8,581762,72720,99.8,16,1140809,71300,97.7,2015
20,Atlanta,8,562845,70355,98.8,8,571826,71478,94.8,16,1134671,70916,96.7,2015
21,San Francisco,8,566392,70799,103.4,8,516167,64520,94.6,16,1082559,67659,99.0,2015
22,Baltimore,8,568018,71002,100.0,8,515901,64487,95.1,16,1083919,67744,97.6,2015
23,Houston,8,574159,71769,101.0,8,524655,65581,95.7,16,1098814,68675,98.4,2015
24,New Orleans,8,584305,73038,95.5,8,550722,68840,97.6,16,1135027,70939,96.5,2015
25,Carolina,8,592454,74056,100.4,8,565235,70654,94.3,16,1157689,72355,97.3,2015
26,Kansas City,7,518604,74086,96.5,8,528579,66072,97.7,15,1047183,69812,97.1,2015
27,Washington,8,609672,76209,89.7,8,586415,73301,96.2,16,1196087,74755,92.8,2015
28,Denver,8,615381,76922,101.0,8,527010,65876,97.9,16,1142391,71399,99.6,2015
29,NY Jets,8,625280,78160,94.7,8,582366,72795,99.2,16,1207646,75477,96.9,2015
30,Green Bay,8,627308,78413,107.2,8,520478,65059,99.0,16,1147786,71736,103.3,2015
31,NY Giants,8,632011,79001,95.8,8,566152,70769,95.4,16,1198163,74885,95.6,2015
32,Dallas,8,731672,91459,91.5,8,580857,72607,98.3,16,1312529,82033,94.4,2015
2016 Attendance,2016 Attendance,Home,Home,Home,Home,Road,Road,Road,Road,Overall,Overall,Overall,Overall,2016
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,2016
1,Oakland,7,382088,54584,86.6,8,550611,68826,96.6,15,932699,62179,92.2,2016
2,Los Angeles,8,456197,57024,80.0,8,541873,67734,95.4,16,998070,62379,87.7,2016
3,Chicago,8,482951,60368,98.2,8,577656,72207,100.9,16,1060607,66287,99.6,2016
4,Cincinnati,7,423583,60511,92.4,8,580699,72587,97.8,15,1004282,66952,95.4,2016
5,Tampa Bay,8,484998,60624,92.3,8,569602,71200,98.6,16,1054600,65912,95.6,2016
6,Detroit,8,486342,60792,94.3,8,588963,73620,102.1,16,1075305,67206,98.4,2016
7,Jacksonville,7,433408,61915,92.2,8,514430,64303,93.5,15,947838,63189,92.9,2016
8,Cleveland,8,514489,64311,87.9,8,530336,66292,93.3,16,1044825,65301,90.5,2016
9,Pittsburgh,8,514503,64312,98.9,8,551124,68890,96.6,16,1065627,66601,97.7,2016
10,Tennessee,8,517273,64659,93.5,8,499234,62404,92.3,16,1016507,63531,92.9,2016
11,Arizona,8,518652,64831,102.3,7,483754,69107,98.3,15,1002406,66827,100.3,2016
12,Miami,8,524101,65512,100.3,7,465548,66506,93.3,15,989649,65976,96.9,2016
13,Indianapolis,8,524393,65549,104.0,7,492053,70293,96.9,15,1016446,67763,100.5,2016
14,Minnesota,8,534289,66786,91.5,8,550213,68776,96.8,16,1084502,67781,94.1,2016
15,New England,8,534632,66829,97.2,8,560140,70017,98.8,16,1094772,68423,98.0,2016
16,Buffalo,8,548073,68509,93.7,7,466950,66707,96.7,15,1015023,67668,95.0,2016
17,Seattle,8,552588,69073,103.1,7,495175,70739,100.1,15,1047763,69850,101.7,2016
18,Philadelphia,8,556768,69596,103.0,8,568530,71066,97.4,16,1125298,70331,100.1,2016
19,Atlanta,8,559998,69999,98.2,7,473899,67699,97.5,15,1033897,68926,97.9,2016
20,San Francisco,8,561424,70178,102.4,7,474085,67726,99.7,15,1035509,69033,101.2,2016
21,Baltimore,8,568823,71102,100.1,8,565310,70663,96.7,16,1134133,70883,98.4,2016
22,Houston,8,574947,71868,101.1,7,480790,68684,98.1,15,1055737,70382,99.7,2016
23,New Orleans,8,584876,73109,100.2,8,556163,69520,97.0,16,1141039,71314,98.6,2016
24,Kansas City,8,586624,73328,95.5,8,528590,66073,95.3,16,1115214,69700,95.4,2016
25,Carolina,8,590343,73792,100.0,7,483228,69032,95.2,15,1073571,71571,97.8,2016
26,Los Angeles,1,74121,74121,89.8,8,532950,66618,96.3,9,607071,67452,95.5,2016
27,Denver,8,614193,76774,100.9,8,519750,64968,94.2,16,1133943,70871,97.7,2016
28,NY Jets,8,625280,78160,94.7,8,543097,67887,98.0,16,1168377,73023,96.2,2016
29,Green Bay,8,625727,78215,107.3,8,543488,67936,96.0,16,1169215,73075,101.7,2016
30,Washington,8,626432,78304,85.4,7,495734,70819,101.1,15,1122166,74811,91.7,2016
31,NY Giants,8,630315,78789,95.5,8,587005,73375,96.9,16,1217320,76082,96.2,2016
32,Dallas,8,740318,92539,115.7,8,581769,72721,97.9,16,1322087,82630,107.1,2016
2017 Attendance,2017 Attendance,Home,Home,Home,Home,Road,Road,Road,Road,Overall,Overall,Overall,Overall,2017
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,2017
1,Los Angeles,8,202687,25335,-,8,580680,72585,94.6,16,783367,48960,127.6,2017
2,Cincinnati,8,426207,53275,81.3,8,552316,69039,96.7,16,978523,61157,89.3,2017
3,Oakland,8,462201,57775,91.5,8,527346,65918,102.5,16,989547,61846,97.0,2017
4,Tampa Bay,8,479618,59952,91.0,8,557343,69667,97.0,16,1036961,64810,94.1,2017
5,Chicago,8,489137,61142,99.4,8,533082,66635,95.3,16,1022219,63888,97.2,2017
6,Pittsburgh,8,499768,62471,91.3,8,536723,67090,98.2,16,1036491,64780,94.8,2017
7,Los Angeles,8,507136,63392,67.7,8,555125,69390,93.7,16,1062261,66391,79.2,2017
8,Indianapolis,8,507525,63440,100.7,8,514517,64314,89.1,16,1022042,63877,94.5,2017
9,Cleveland,8,511060,63882,87.3,8,456947,57118,98.2,16,968007,60500,92.1,2017
10,Detroit,8,513100,64137,98.7,8,533665,66708,93.8,16,1046765,65422,96.1,2017
11,Arizona,8,513741,64217,98.8,8,549343,68667,94.3,16,1063084,66442,96.4,2017
12,Jacksonville,8,514427,64303,95.6,8,535141,66892,95.4,16,1049568,65598,95.5,2017
13,Tennessee,8,525214,65651,95.0,8,514905,64363,95.0,16,1040119,65007,95.0,2017
14,New England,8,527024,65878,100.0,8,572004,71500,100.2,16,1099028,68689,100.1,2017
15,Minnesota,8,533769,66721,91.4,8,566136,70767,98.5,16,1099905,68744,94.9,2017
16,Buffalo,8,534200,66775,91.4,8,506717,63339,100.5,16,1040917,65057,95.6,2017
17,Miami,8,541022,67627,103.5,8,510139,63767,98.5,16,1051161,65697,101.0,2017
18,Seattle,8,551809,68976,102.9,8,578134,72266,93.4,16,1129943,70621,97.8,2017
19,Philadelphia,8,556768,69596,100.0,8,560373,70046,96.9,16,1117141,69821,98.4,2017
20,San Francisco,8,561155,70144,102.4,8,542855,67856,94.3,16,1104010,69000,98.2,2017
21,Baltimore,8,564709,70588,99.4,8,523617,65452,94.7,16,1088326,68020,97.1,2017
22,Houston,8,574197,71774,101.0,8,506250,63281,90.0,16,1080447,67527,95.5,2017
23,Atlanta,8,575681,71960,95.9,8,547377,68422,98.1,16,1123058,70191,97.0,2017
24,New Orleans,8,585113,73139,95.6,8,560933,70116,94.6,16,1146046,71627,95.1,2017
25,Carolina,8,588942,73617,99.8,8,545019,68127,97.2,16,1133961,70872,98.5,2017
26,Kansas City,8,592851,74106,97.0,8,541315,67664,100.0,16,1134166,70885,98.4,2017
27,Washington,8,601405,75175,88.4,8,536234,67029,94.8,16,1137639,71102,91.3,2017
28,Denver,8,610846,76355,100.3,8,496808,62101,100.3,16,1107654,69228,100.3,2017
29,NY Giants,8,617434,77179,93.6,8,565603,70700,95.3,16,1183037,73939,94.4,2017
30,NY Jets,8,620496,77562,94.0,8,522862,65357,93.5,16,1143358,71459,93.8,2017
31,Green Bay,8,624742,78092,106.8,8,558814,69851,94.7,16,1183556,73972,100.7,2017
32,Dallas,8,741775,92721,92.7,8,567436,70929,97.0,16,1309211,81825,94.5,2017
2018 Attendance,2018 Attendance,Home,Home,Home,Home,Road,Road,Road,Road,Overall,Overall,Overall,Overall,2018
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,2018
1,Los Angeles,8,262145,32768,121.4,8,541411,67676,93.6,16,803556,50222,101.1,2018
2,Cincinnati,8,406028,50753,77.5,8,505261,63157,96.8,16,911289,56955,87.1,2018
3,Tampa Bay,8,434855,54356,82.8,8,564988,70623,93.8,16,999843,62490,88.7,2018
4,Oakland,8,463353,57919,103.4,8,491905,61488,95.6,16,955258,59703,99.3,2018
5,Indianapolis,8,473598,59199,94.0,8,532763,66595,94.3,16,1006361,62897,94.1,2018
6,Washington,8,488227,61028,74.4,8,554940,69367,93.6,16,1043167,65197,83.5,2018
7,Chicago,8,494525,61815,100.5,8,555118,69389,98.2,16,1049643,65602,99.3,2018
8,Arizona,8,496111,62013,95.4,8,522016,65252,93.6,16,1018127,63632,94.5,2018
9,Detroit,8,502361,62795,97.4,8,552267,69033,95.2,16,1054628,65914,96.2,2018
10,Pittsburgh,8,507651,63456,92.8,8,532858,66607,98.2,16,1040509,65031,95.5,2018
11,Tennessee,8,516161,64520,93.3,7,491632,70233,94.2,15,1007793,67186,93.7,2018
12,Buffalo,8,519695,64961,90.4,8,553204,69150,97.5,16,1072899,67056,93.9,2018
13,Miami,8,524480,65560,101.2,8,537700,67212,94.5,16,1062180,66386,97.7,2018
14,Cleveland,8,526122,65765,97.5,8,519319,64914,94.8,16,1045441,65340,96.2,2018
15,New England,8,527024,65878,100.0,8,541506,67688,98.4,16,1068530,66783,99.2,2018
16,Jacksonville,7,466719,66674,98.3,8,557310,69663,92.9,15,1024029,68268,95.3,2018
17,Minnesota,8,534491,66811,99.9,8,556343,69542,94.7,16,1090834,68177,97.2,2018
18,Seattle,8,552009,69001,100.4,8,566093,70761,101.3,16,1118102,69881,100.8,2018
19,San Francisco,8,553190,69148,100.9,8,499264,62408,91.7,16,1052454,65778,96.3,2018
20,Philadelphia,8,557568,69696,100.1,8,592169,74021,93.4,16,1149737,71858,96.6,2018
21,Baltimore,8,563451,70431,99.2,8,489932,61241,93.7,16,1053383,65836,96.6,2018
22,Houston,8,574439,71804,99.7,8,538041,67255,93.4,16,1112480,69530,96.6,2018
23,Los Angeles,8,579439,72429,77.4,8,522970,65371,98.1,16,1102409,68900,86.0,2018
24,Atlanta,8,583184,72898,97.2,8,535959,66994,92.2,16,1119143,69946,94.7,2018
25,New Orleans,8,584411,73051,100.1,8,563289,70411,93.8,16,1147700,71731,96.9,2018
26,Carolina,8,590182,73772,100.0,8,512574,64071,90.6,16,1102756,68922,95.4,2018
27,Kansas City,8,607780,75972,99.4,8,499596,62449,95.5,16,1107376,69211,97.6,2018
28,Denver,8,611571,76446,100.4,8,480753,60094,93.9,16,1092324,68270,97.4,2018
29,NY Giants,8,615525,76940,93.3,8,567607,70950,94.0,16,1183132,73945,93.6,2018
30,Green Bay,8,622677,77834,95.6,8,541165,67645,92.4,16,1163842,72740,94.1,2018
31,NY Jets,8,623856,77982,94.5,8,506967,63370,95.1,16,1130823,70676,94.8,2018
32,Dallas,8,732958,91619,91.6,8,570435,71304,97.2,16,1303393,81462,94.0,2018
