pick,team,player,pos,height,weight,country,college,years,dollars,year cap hit,year
32,WAS *Traded to CLE,Jermaine Taylor,SG,,,0,Central Florida,3,"$2,390,164","$725,000",2009
33,POR *Traded to SAS,Dante Cunningham,PF,"6' 8""",230,United States,Villanova,2,"$1,219,783","$457,588",2009
34,DEN ,Sergio Llull,PG,,,Spain,,,-,-,2009
35,DET *Traded to NYK,DaJuan Summers,PF,"6' 8""",240,United States,Georgetown,2,"$1,220,000",-,2009
36,MEM *Traded to SAS,Sam Young,SF,,,,Pittsburgh,3,"$2,658,000","$824,200",2009
37,SAS *Traded to PHX,DeJaun Blair,C,"6' 7""",270,United States,Pittsburgh,4,"$3,415,588","$457,588",2009
38,POR *Traded to HOU,Jon Brockman,SF,,,,Washington,1,"$457,588","$457,588",2009
39,DET *Traded to GSW,Jonas Jerebko,PF,"6' 10""",231,Sweden,,2,"$1,219,783","$457,588",2009
40,CHA *Traded to SAS,Derrick Brown,PG,,,,Xavier,2,"$1,194,008","$457,588",2009
41,MIL ,Jodie Meeks,SG,"6' 4""",210,United States,Kentucky,3,"$2,104,076","$457,588",2009
42,LAL ,Patrick Beverley,PG,"6' 1""",185,United States,,,-,-,2009
43,MIA *Traded to BKN,Marcus Thornton,SG,"6' 4""",205,United States,Louisiana State,2,"$1,219,783","$457,588",2009
44,DET *Traded to BKN,Chase Budinger,SF,"6' 7""",215,United States,Arizona,2,"$1,508,000","$725,000",2009
45,MIN *Traded to MEM,Nick Calathes,SG,,,United States,Florida,2,"$1,306,662",-,2009
46,CLE *Traded to TOR,Danny Green,SG,"6' 6""",215,United States,North Carolina,2,"$1,219,783","$457,588",2009
47,MIN ,Henk Norel,C,"6' 11""",230,Netherlands,,,-,-,2009
48,PHX *Traded to CHA,Taylor Griffin,PF,"6' 8""",235,United States,Oklahoma,1,"$457,588","$457,588",2009
49,CLE ,Sergey Gladyr,SG,,,,,,-,-,2009
50,UTH ,Goran Suton,C,"6' 8""",245,Bosnia and Herzegovina,Michigan State,,-,-,2009
51,SAS , ,,,,,,,-,-,2009
52,IND *Traded to PHX,A.J. Price,PG,,,United States,Connecticut,3,"$2,104,076","$457,588",2009
53,SAS *Traded to TOR,Nando De Colo,PG,,,,,2,"$2,863,000",-,2009
54,CHA *Traded to SAS,Robert Vaden,SG,,,,Alabama-Birmingham,1,"$457,588","$457,588",2009
55,POR *Traded to SAS,Patrick Mills,PG,"6' 0""",185,Australia,Saint Mary's,1,"$457,588",-,2009
56,DAL ,Ahmad Nivins,PF,,,0,Saint Joseph's,,-,-,2009
57,PHX ,Emir Preldzic,SF,,,,,,-,-,2009
58,BOS *Traded to LAC,Lester Hudson,PG,,,,Tennessee-Martin,2,"$1,219,783","$457,588",2009
59,LAL ,Chinemelu Elonu,SF,,,0,Texas A&M,,-,-,2009
60,MIA ,Robert Dozier,PF,,,0,Memphis,1,"$473,604",-,2009
