pick,team,player,pos,height,weight,country,college,years,dollars,year cap hit,year
49,SAS ,Chimezie Metu,PF,"6' 10""",225,United States,Southern California,,-,-,2018
50,IND ,Alize Johnson,PF,"6' 9""",212,United States,Missouri State,2,"$2,255,316",-,2018
51,NOP  from CHI via NOP via MIA,Tony Carr,PG,"6' 5""",200,United States,Penn State,,-,-,2018
52,UTH *Traded to HOU,Vincent Edwards,SF,"6' 8""",225,United States,Purdue,1,"$838,464","$838,464",2018
53,OKC ,Devon Hall,SG,"6' 5""",211,United States,Virginia,,-,-,2018
54,DAL  from POR via DEN,Shake Milton,PG,"6' 6""",207,United States,Southern Methodist,,-,-,2018
55,CHA  from CLE via BKN via PHI,Arnoldas Kulboka,SF,"6' 9""",220,Lithuania,,,-,-,2018
56,PHI *Traded to PHX,Ray Spalding,PF,"6' 10""",215,United States,Louisville,4,"$5,721,234","$838,464",2018
57,OKC  from BOS,Kevin Hervey,SF,"6' 9""",230,United States,Texas-Arlington,,-,-,2018
58,DEN  from GSW,Thomas Welsh,C,"7' 0""",255,United States,California-Los Angeles,,-,-,2018
59,PHX  from TOR,George King,SF,"6' 6""",225,United States,Colorado,,-,-,2018
60,PHI  from HOU,Kostas Antetokounmpo,PF,"6' 10""",195,Greece,,,-,-,2018
