Year,Western champion,Coach,Result,Eastern champion,Coach.1,Reference
1999[e],"San Antonio Spurs (1) (1, 1–0)",Gregg Popovich,4–1,"New York Knicks (8) (8, 2–6)",Jeff Van Gundy,[73]
2000,"Los Angeles Lakers (1) (25, 12–13)",Phil Jackson,4–2,"Indiana Pacers (1) (1, 0–1)",Larry Bird,[74]
2001,"Los Angeles Lakers (2) (26, 13–13)",Phil Jackson,4–1,"Philadelphia 76ers (1) (9, 3–6)",Larry Brown,[75]
2002,"Los Angeles Lakers (3) (27, 14–13)",Phil Jackson,4–0,"New Jersey Nets (1) (1, 0–1)",Byron Scott,[76]
2003,"San Antonio Spurs (1) (2, 2–0)",Gregg Popovich,4–2,"New Jersey Nets (2) (2, 0–2)",Byron Scott,[77]
2004,"Los Angeles Lakers (2) (28, 14–14)",Phil Jackson,1–4,"Detroit Pistons (3) (6, 3–3)",Larry Brown,[78]
2005,"San Antonio Spurs (2) (3, 3–0)",Gregg Popovich,4–3,"Detroit Pistons (2) (7, 3–4)",Larry Brown,[79]
2006,"Dallas Mavericks (4) (1, 0–1)",Avery Johnson,2–4,"Miami Heat (2) (1, 1–0)",Pat Riley,[80]
2007,"San Antonio Spurs (3) (4, 4–0)",Gregg Popovich,4–0,"Cleveland Cavaliers (2) (1, 0–1)",Mike Brown,[81]
2008,"Los Angeles Lakers (1) (29, 14–15)",Phil Jackson,2–4,"Boston Celtics (1) (20, 17–3)",Doc Rivers,[82]
2009,"Los Angeles Lakers (1) (30, 15–15)",Phil Jackson,4–1,"Orlando Magic (3) (2, 0–2)",Stan Van Gundy,[83]
2010,"Los Angeles Lakers (1) (31, 16–15)",Phil Jackson,4–3,"Boston Celtics (4) (21, 17–4)",Doc Rivers,[84]
2011,"Dallas Mavericks (3) (2, 1–1)",Rick Carlisle,4–2,"Miami Heat (2) (2, 1–1)",Erik Spoelstra,[85]
2012[f],"Oklahoma City Thunder (2) (4, 1–3)",Scott Brooks,1–4,"Miami Heat (2) (3, 2–1)",Erik Spoelstra,[88]
2013,"San Antonio Spurs (2) (5, 4–1)",Gregg Popovich,3–4,"Miami Heat (1) (4, 3–1)",Erik Spoelstra,[89]
2014,"San Antonio Spurs (1) (6, 5–1)",Gregg Popovich,4–1,"Miami Heat (2) (5, 3–2)",Erik Spoelstra,[90]
2015,"Golden State Warriors (1) (7, 4–3)",Steve Kerr,4–2,"Cleveland Cavaliers (2) (2, 0–2)",David Blatt,[91]
2016,"Golden State Warriors (1) (8, 4–4)",Steve Kerr,3–4,"Cleveland Cavaliers (1) (3, 1–2)",Tyronn Lue,[92]
2017,"Golden State Warriors (1) (9, 5–4)",Steve Kerr,4–1,"Cleveland Cavaliers (2) (4, 1–3)",Tyronn Lue,[93]
2018,"Golden State Warriors (2) (10, 6–4)",Steve Kerr,4–0,"Cleveland Cavaliers (4) (5, 1–4)",Tyronn Lue,[94]
2019,"Golden State Warriors (1) (11, 6–5)",Steve Kerr,2–4,"Toronto Raptors (2) (1, 1–0)",Nick Nurse,[95]
