Player,College,State,AV
Spencer Johnson,Auburn University,AL,52.50
JJ Nelson,,AL,52.25
Corey White,Samford University,AL,52.00
Terrence Cody,University of Alabama,AL,51.75
Pat Sims,Auburn University,AL,51.29
Damion Square,University of Alabama,AL,50.00
Jonathan Jones,Auburn University,AL,50.00
Fred Davis,University of Alabama,AL,49.67
Fred Davis,,AL,49.67
Fred Davis,,AL,49.67
Anthony Harris,Auburn University,AL,48.50
Anthony Harris,Medical College of Virginia,AL,48.50
Cadillac Williams,Auburn University,AL,48.00
James Brown,Troy University,AL,48.00
James Brown,,AL,48.00
Jonathan Wilhite,Auburn University,AL,48.00
Pierre Warren,,AL,48.00
Roderick Hood,Auburn University,AL,48.00
Jonathan Massaquoi,Troy University,AL,46.33
Levi Brown,Troy University,AL,46.00
Levi Brown,,AL,46.00
Brandon Deaderick,University of Alabama,AL,45.50
Shon Coleman,Auburn University,AL,45.00
Cody Parkey,Auburn University,AL,44.60
Angelo Blackson,Auburn University,AL,44.50
Ronnie Brown,Auburn University,AL,44.50
Jason Campbell,Auburn University,AL,43.75
Josh Chapman,University of Alabama,AL,42.67
Carl Lawson,Auburn University,AL,40.00
Cyrus Jones,University of Alabama,AL,40.00
Ricardo Louis,Auburn University,AL,40.00
Robenson Therezie,Auburn University,AL,40.00
C.J. Uzomah,Auburn University,AL,39.25
Dee Milliner,University of Alabama,AL,38.67
Javier Arenas,University of Alabama,AL,37.50
Blake Countess,Auburn University,AL,37.33
Brynden Trawick,Troy University,AL,36.50
Ben Obomanu,Auburn University,AL,36.33
Cameron Artis-Payne,Auburn University,AL,36.00
Will Herring,Auburn University,AL,36.00
Robert Lester,University of Alabama,AL,35.00
Arie Kouandjio,University of Alabama,AL,34.00
Cyrus Kouandjio,University of Alabama,AL,33.60
ArDarius Stewart,University of Alabama,AL,32.00
Austin Shepherd,University of Alabama,AL,32.00
Chris Landrum,Auburn University,AL,32.00
Corey Lemonier,Auburn University,AL,32.00
Daren Bates,Auburn University,AL,32.00
Darrin Reaves,,AL,32.00
Deon Lacey,University of West Alabama,AL,32.00
Frank Walker,Tuskegee University,AL,32.00
Greg McElroy,University of Alabama,AL,32.00
Jaylen Hill,,AL,32.00
Jermaine Whitehead,Auburn University,AL,32.00
Michael Coe,,AL,32.00
Nick Marshall,Auburn University,AL,32.00
Rudy Ford,Auburn University,AL,32.00
Ryan Anderson,University of Alabama,AL,32.00
Tim Williams,University of Alabama,AL,32.00
Trovon Reed,Auburn University,AL,32.00
DuJuan Harris,Troy University,AL,31.00
Corey Grant,Auburn University,AL,30.75
Nico Johnson,University of Alabama,AL,30.33
Frank Kearse,,AL,30.00
Montravius Adams,Auburn University,AL,29.50
Robert Johnson,Auburn University,AL,29.50
Robert Johnson,College of Eastern Utah,AL,29.50
Neiko Thorpe,Auburn University,AL,28.50
Carson Tinker,University of Alabama,AL,27.80
Elbert Mack,Troy University,AL,26.75
Josh Harris,Auburn University,AL,26.75
Josh Harris,Wake Forest University,AL,26.75
Brandon King,Auburn University,AL,25.00
Brandon King,Purdue University,AL,25.00
Brandon Mosley,Auburn University,AL,25.00
Chris Davis,Purdue University,AL,25.00
Chris Davis,Syracuse University,AL,25.00
Chris Davis,Wake Forest University,AL,25.00
Chris Davis,,AL,25.00
Sammie Coates,Auburn University,AL,24.75
A.J. McCarron,University of Alabama,AL,23.00
Barrett Jones,University of Alabama,AL,21.50
Cameron Sheffield,Troy University,AL,21.50
Jeoffrey Pagan,University of Alabama,AL,21.50
Joshua Holsey,Auburn University,AL,21.50
Kevin Norwood,University of Alabama,AL,21.50
Lee Ziemba,Auburn University,AL,21.50
Marcus Dowtin,University of North Alabama,AL,21.50
Jerrel Jernigan,Troy University,AL,20.25
Gabe Wright,Auburn University,AL,18.00
Le'Ron McClain,University of Alabama,AL,18.00
Joe Webb,,AL,16.29
David King,Auburn University,AL,16.25
David King,East Oklahoma State College,AL,16.25
Anthony Madison,University of Alabama,AL,11.00
Antonio Coleman,Auburn University,AL,11.00
Brad Smelley,University of Alabama,AL,11.00
Brandon Burks,Troy University,AL,11.00
Brian Smith,Auburn University,AL,11.00
Brian Smith,University of Notre Dame,AL,11.00
Brian Williams,Birmingham-Southern College,AL,11.00
Brian Williams,"Minnesota State University, Mankato",AL,11.00
Brian Williams,,AL,11.00
Brian Williams,,AL,11.00
Chandler Worthy,Troy University,AL,11.00
Chavis Williams,University of Alabama,AL,11.00
Darius Hanks,University of Alabama,AL,11.00
Darvin Adams,Auburn University,AL,11.00
DeAndrew White,University of Alabama,AL,11.00
DeQuan Menzie,University of Alabama,AL,11.00
George Farmer,Birmingham-Southern College,AL,11.00
George Farmer,,AL,11.00
George Farmer,,AL,11.00
Greg Jenkins,,AL,11.00
Jalston Fowler,University of Alabama,AL,11.00
Jared Green,Birmingham-Southern College,AL,11.00
Jay Prosch,Auburn University,AL,11.00
Jeremy Clark,University of Alabama,AL,11.00
Jerrell Harris,University of Alabama,AL,11.00
Jordan Miller,Birmingham-Southern College,AL,11.00
Kennard Backman,,AL,11.00
Marquis Johnson,University of Alabama,AL,11.00
Michael Williams,University of Alabama,AL,11.00
Michael Williams,,AL,11.00
Michael Williams,,AL,11.00
Onterio McCalebb,Auburn University,AL,11.00
Patrick Trahan,Auburn University,AL,11.00
Quan Bray,Auburn University,AL,11.00
Quinn Porter,,AL,11.00
Rashaun Allen,Birmingham-Southern College,AL,11.00
Ryan Taylor,Auburn University,AL,11.00
Ryan Taylor,North Carolina A&T State University,AL,11.00
T.J. Heath,,AL,11.00
Terren Jones,,AL,11.00
Troymaine Pope,,AL,11.00
Vinnie Sunseri,University of Alabama,AL,11.00
Walter McFadden,Auburn University,AL,11.00
Zach Clayton,Auburn University,AL,11.00
Eddie Jackson,Arkansas State University,AR,91.00
Eddie Jackson,University of Alabama,AR,91.00
Jason Peters,Arkansas State University,AR,79.50
Chris Houston,Arkansas State University,AR,77.00
Jordan Babineaux,Southern Arkansas University,AR,75.50
Travis Swanson,Arkansas State University,AR,73.60
Trey Flowers,Arkansas State University,AR,70.50
Alex Collins,Arkansas State University,AR,66.67
Felix Jones,Arkansas State University,AR,66.67
George Wilson,Arkansas State University,AR,63.25
George Wilson,Lafayette College,AR,63.25
George Wilson,Northwestern Oklahoma State University,AR,63.25
George Wilson,University of Notre Dame,AR,63.25
Jarius Wright,Arkansas State University,AR,59.57
Bobbie Williams,Arkansas State University,AR,59.00
Darius Philon,Arkansas State University,AR,57.75
Darren McFadden,Arkansas State University,AR,56.00
Alvin Bailey,Arkansas State University,AR,54.00
Matt Jones,Arkansas State University,AR,52.00
Matt Jones,Central Florida Community College,AR,52.00
Nate Garner,Arkansas State University,AR,49.50
Peyton Hillis,Arkansas State University,AR,48.50
Mitch Petrus,Arkansas State University,AR,40.00
D.J. Williams,Arkansas State University,AR,39.71
D.J. Williams,,AR,39.71
Tarvaris Jackson,Arkansas State University,AR,36.75
Martrell Spaight,Arkansas State University,AR,34.00
Chris Smith,Arkansas State University,AR,33.83
Chris Smith,University of Notre Dame,AR,33.83
Dennis Johnson,Arkansas State University,AR,32.00
Javontee Herndon,Arkansas State University,AR,32.00
Malcolm Sheppard,Arkansas State University,AR,32.00
Nick Miller,Arkansas State University,AR,32.00
Nick Miller,Southern Utah University,AR,32.00
Tony Ugoh,Arkansas State University,AR,32.00
A.J. Derby,Arkansas State University,AR,30.33
Denver Kirkland,Arkansas State University,AR,29.50
Brett Goode,Arkansas State University,AR,29.00
Jerry Franklin,Arkansas State University,AR,25.00
Ryan Mallett,Arkansas State University,AR,24.80
Cobi Hamilton,Arkansas State University,AR,23.33
Jeremiah Ledbetter,Arkansas State University,AR,21.50
Jonathan Williams,Arkansas State University,AR,21.50
Robert Thomas,Arkansas State University,AR,21.50
Robert Thomas,,AR,21.50
Robert Thomas,,AR,21.50
Chris Gragg,Arkansas State University,AR,18.00
Phillip Supernaw,Ouachita Baptist University,AR,14.50
Dan Skipper,Arkansas State University,AR,11.00
Demarcus Love,Arkansas State University,AR,11.00
Dezmin Lewis,University of Central Arkansas,AR,11.00
Greg Childs,Arkansas State University,AR,11.00
Gregory Gatson,Arkansas State University,AR,11.00
Jake Bequette,Arkansas State University,AR,11.00
Jeremy Sprinkle,Arkansas State University,AR,11.00
Jerico Nelson,Arkansas State University,AR,11.00
Joe Adams,Arkansas State University,AR,11.00
Julius Pruitt,Ouachita Baptist University,AR,11.00
Kiero Small,Arkansas State University,AR,11.00
Mitchell Loewen,Arkansas State University,AR,11.00
Ronnie Wingo,Arkansas State University,AR,11.00
Zach Hocker,Arkansas State University,AR,11.00
Ben Graham,,australia,21.50
Kyle Kosier,,AZ,93.00
Rob Gronkowski,Arizona State University,AZ,87.88
Michael Johnson,Arizona State University,AZ,83.38
Michael Johnson,,AZ,83.38
Terrell Suggs,,AZ,80.25
Lance Briggs,Arizona State University,AZ,79.25
Vontaze Burfict,,AZ,76.00
Brooks Reed,Arizona State University,AZ,73.88
Damarious Randall,,AZ,71.00
Patrick Onwuasor,Arizona State University,AZ,68.67
Antoine Cason,Arizona State University,AZ,68.25
Shawn Lauvao,,AZ,68.25
Lawrence Guy,,AZ,63.14
Nick Foles,Arizona State University,AZ,62.86
Paul Fanaika,,AZ,58.33
Will Sutton,,AZ,57.67
Mike Pennel,,AZ,51.00
Zach Miller,,AZ,50.38
Zach Miller,,AZ,50.38
Derek Hagan,,AZ,48.00
Matt Haack,,AZ,48.00
Mike Pollak,,AZ,47.00
Will Parks,Arizona State University,AZ,46.33
Nick Folk,Arizona State University,AZ,46.14
Robert Golden,Arizona State University,AZ,43.00
Eben Britton,Arizona State University,AZ,42.75
Brock Osweiler,,AZ,40.86
Todd Heap,,AZ,40.00
Troy Nolan,,AZ,40.00
Mike Thomas,Arizona State University,AZ,39.25
Mike Thomas,East Oklahoma State College,AZ,39.25
Mike Thomas,University of Southern Mississippi,AZ,39.25
Marquis Flowers,Arizona State University,AZ,37.50
Omar Bolden,,AZ,36.00
Jamil Douglas,,AZ,35.00
Rashad Ross,,AZ,35.00
Trevin Wade,Arizona State University,AZ,34.75
Brandon Magee,,AZ,32.00
Ka'Deem Carey,Arizona State University,AZ,32.00
Colin Baxter,Arizona State University,AZ,29.50
Zane Gonzalez,,AZ,29.50
Jaelen Strong,,AZ,25.00
Davon Coleman,,AZ,21.50
Josh Barrett,,AZ,21.50
Juron Criner,Arizona State University,AZ,21.50
Justin Tryon,,AZ,21.50
Kerry Taylor,,AZ,21.50
LeQuan Lewis,,AZ,21.50
Ryan Torain,,AZ,21.50
Robert James,,AZ,18.00
Robert James,,AZ,18.00
Spencer Larsen,Arizona State University,AZ,18.00
Brandon Smith,,AZ,11.00
Brian Jennings,,AZ,11.00
Carl Bradford,,AZ,11.00
Chris Gronkowski,Arizona State University,AZ,11.00
Colin Parker,,AZ,11.00
D'Aundre Reed,Arizona State University,AZ,11.00
Dan Knapp,,AZ,11.00
David Douglas,Arizona State University,AZ,11.00
David Douglas,East Tennessee State University,AZ,11.00
Deveron Carr,,AZ,11.00
Gerrell Robinson,,AZ,11.00
Keelan Johnson,,AZ,11.00
Lionel Dotson,Arizona State University,AZ,11.00
Marion Grice,,AZ,11.00
Mike Willie,,AZ,11.00
Nate Ness,Arizona State University,AZ,11.00
Ricky Elmore,Arizona State University,AZ,11.00
Rudy Carpenter,,AZ,11.00
Travis Goethel,,AZ,11.00
Jared Goff,California Lutheran University,CA,99.00
Logan Mankins,,CA,93.00
Anthony Barr,,CA,92.40
Derek Carr,,CA,91.40
Andrus Peat,Stanford University,CA,90.75
Cameron Jordan,California Lutheran University,CA,90.25
Eric Kendricks,,CA,88.00
Richard Sherman,Stanford University,CA,87.75
Myles Jack,,CA,87.00
Mitchell Schwartz,California Lutheran University,CA,86.86
Alex Mack,California Lutheran University,CA,85.88
Brandon Mebane,California Lutheran University,CA,84.13
David DeCastro,Stanford University,CA,83.86
Davante Adams,,CA,83.60
John Sullivan,California Lutheran University,CA,83.43
John Sullivan,Eastern Illinois University,CA,83.43
John Sullivan,University of Notre Dame,CA,83.43
DeSean Jackson,California Lutheran University,CA,82.25
Zach Ertz,Stanford University,CA,80.83
Thomas DeCoud,California Lutheran University,CA,79.75
Marvin Jones,,CA,79.00
Keenan Allen,California Lutheran University,CA,78.83
Ryan Mathews,,CA,78.33
Russell Allen,,CA,74.67
Mychal Kendricks,California Lutheran University,CA,73.86
Eddie Vanderdoes,,CA,73.00
Tyson Alualu,California Lutheran University,CA,72.50
Austin Hooper,Stanford University,CA,70.33
Tyeler Davison,,CA,69.75
Ryan Wendell,,CA,69.60
Trent Murphy,Stanford University,CA,69.50
Dwight Lowery,,CA,69.00
Jayon Brown,,CA,68.50
Rahim Moore,,CA,68.40
Brian De La Puente,California Lutheran University,CA,68.20
Anthony Miller,,CA,66.00
O.J. Atogwe,Stanford University,CA,66.00
Roy Williams,Azusa Pacific University,CA,66.00
Roy Williams,East Oklahoma State College,CA,66.00
Roy Williams,North Central Texas College,CA,66.00
Miles Burris,,CA,65.33
Chris Conte,California Lutheran University,CA,65.13
Lance Louis,,CA,65.00
Xavier Su'a-Filo,,CA,64.20
Akeem Ayers,,CA,64.00
Alterraun Verner,,CA,63.86
C.J. Anderson,California Lutheran University,CA,63.67
Kenyon Coleman,,CA,63.50
Maurice Jones-Drew,,CA,63.50
Michael Thomas,Stanford University,CA,63.44
Michael Thomas,,CA,63.44
Ronnie Hillman,,CA,62.40
Matt Giordano,California Lutheran University,CA,62.33
Josh Mauro,Stanford University,CA,61.60
Henry Anderson,Stanford University,CA,61.50
Jamal Agnew,San Diego City College,CA,60.50
Scott Fujita,California Lutheran University,CA,60.50
Ty Montgomery,Stanford University,CA,60.50
Cameron Fleming,Stanford University,CA,60.20
Caleb Benenoch,,CA,60.00
Lorenzo Alexander,California Lutheran University,CA,60.00
Shane Vereen,California Lutheran University,CA,59.14
Calvin Munson,,CA,59.00
Justin Forsett,California Lutheran University,CA,58.33
Ka'imi Fairbairn,,CA,57.00
Nate Chandler,,CA,57.00
Nnamdi Asomugha,California Lutheran University,CA,56.33
Garrett McIntyre,,CA,54.00
Brendon Ayanbadejo,,CA,53.50
Cody Wichmann,,CA,53.50
Hardy Nickerson,California Lutheran University,CA,53.50
Richard Marshall,,CA,53.00
Damontae Kazee,,CA,52.50
A.J. Jefferson,,CA,52.33
Andre Carter,California Lutheran University,CA,52.33
Bryan Anger,California Lutheran University,CA,52.00
Chris Gocong,,CA,52.00
Jordan Richards,Stanford University,CA,49.50
Bene Benwikere,,CA,49.20
Brian Schwenke,California Lutheran University,CA,49.00
David Wilson,California Lutheran University,CA,49.00
David Wilson,,CA,49.00
Fabian Moreau,,CA,49.00
Kenny Wiggins,,CA,48.17
A.J. Tarpley,Stanford University,CA,48.00
Alex Redmond,,CA,48.00
Amon Gordon,Stanford University,CA,48.00
Chaz Schilens,,CA,48.00
Chris Kluwe,,CA,48.00
James Washington,,CA,48.00
Jarrad Page,,CA,48.00
Mike Tepper,California Lutheran University,CA,48.00
Phillip Thomas,,CA,48.00
David Parry,Stanford University,CA,46.50
Brennan Scarlett,California Lutheran University,CA,46.33
Stephen Anderson,California Lutheran University,CA,45.50
Marcedes Lewis,,CA,45.25
Kai Forbath,,CA,45.14
Cassius Marsh,,CA,45.00
Will Svitek,Stanford University,CA,44.00
Datone Jones,,CA,42.83
Heath Farwell,,CA,42.67
Brett Hundley,,CA,42.00
Dave Ball,,CA,42.00
Jahvid Best,California Lutheran University,CA,42.00
Joshua Garnett,Stanford University,CA,42.00
Brice Butler,,CA,41.00
Kyle Bosworth,,CA,41.00
Curtis Riley,,CA,40.67
Jeremy Ross,California Lutheran University,CA,40.25
Daniel Fells,,CA,40.00
Giorgio Tavecchio,California Lutheran University,CA,40.00
Joseph Fauria,,CA,40.00
Matt Willis,,CA,40.00
Ramses Barden,,CA,40.00
David Carter,,CA,39.33
David Carter,,CA,39.33
Jeff Locke,,CA,38.40
Steve Williams,California Lutheran University,CA,37.33
Steve Williams,,CA,37.33
Johnson Bademosi,Stanford University,CA,36.57
Colton Schmidt,,CA,36.40
L.P. Ladouceur,California Lutheran University,CA,35.38
Brandyn Dombrowski,,CA,35.00
Levine Toilolo,Stanford University,CA,34.83
Desmond Bishop,California Lutheran University,CA,34.75
Chris Owens,,CA,34.20
Duke Ihenacho,,CA,34.20
Kahlil Bell,,CA,34.00
Sione Fua,Stanford University,CA,33.50
Logan Paulsen,,CA,32.14
Antwan Applewhite,,CA,32.00
Austin Wentworth,,CA,32.00
Bernard Berrian,,CA,32.00
Bryce Treggs,California Lutheran University,CA,32.00
Chad Hansen,California Lutheran University,CA,32.00
Coye Francies,,CA,32.00
Dante Hughes,California Lutheran University,CA,32.00
Derrick Ward,,CA,32.00
Derron Smith,,CA,32.00
Johnathan Franklin,,CA,32.00
Justin Hickman,,CA,32.00
Justin Medlock,,CA,32.00
Kyle Boller,California Lutheran University,CA,32.00
Leigh Torrence,Stanford University,CA,32.00
Matt McCoy,,CA,32.00
Nick Harris,California Lutheran University,CA,32.00
Shayne Skov,Stanford University,CA,32.00
Terrence Austin,,CA,32.00
William Robinson,,CA,32.00
Rontez Miles,,CA,31.00
Chris McCain,California Lutheran University,CA,30.75
Thomas Keiser,Stanford University,CA,30.75
Brian Price,,CA,30.40
Brian Price,,CA,30.40
C.J. Goodwin,,CA,30.33
Erik Harris,,CA,30.33
Maurice Harris,California Lutheran University,CA,30.33
Stepfan Taylor,Stanford University,CA,30.33
Bryce Harris,,CA,30.00
D.J. Campbell,California Lutheran University,CA,29.50
Evan Moore,Stanford University,CA,29.50
Kyle Murphy,Stanford University,CA,29.50
Tyrone Culver,,CA,29.50
Lavelle Hawkins,California Lutheran University,CA,29.33
Aaron Brewer,,CA,29.00
Kevin McDermott,,CA,28.50
Craig Stevens,California Lutheran University,CA,26.80
Chris Owusu,Stanford University,CA,26.75
Christian Yount,,CA,26.75
Nat Berhe,,CA,26.75
Nick Dzubnar,,CA,26.75
Nick Sundberg,California Lutheran University,CA,26.75
Griff Whalen,Stanford University,CA,25.80
Ben Jacobs,,CA,25.00
Jake Brendel,,CA,25.00
Mike Mohamed,California Lutheran University,CA,24.80
Peyton Thompson,,CA,23.60
Jim Dray,Stanford University,CA,21.57
Akeem King,,CA,21.50
Cameron Morrah,California Lutheran University,CA,21.50
David Fales,,CA,21.50
Dewey McDonald,,CA,21.50
Eli Ankou,,CA,21.50
Greg Camarillo,Stanford University,CA,21.50
Justin Cole,,CA,21.50
Leon McFadden,,CA,21.50
Owamagbe Odighizuwa,,CA,21.50
Sheldon Price,,CA,21.50
Terrence Johnson,,CA,21.50
Bear Pascoe,,CA,19.40
Gavin Escobar,,CA,19.40
Marlon Moore,,CA,19.40
Ryan Hewitt,Stanford University,CA,19.40
Aaron Wallace,,CA,18.00
Aaron Wallace,,CA,18.00
Chris Harper,California Lutheran University,CA,18.00
Chris Harper,,CA,18.00
Jeremy Stewart,Stanford University,CA,18.00
Kyle Knox,,CA,18.00
Mike Gibson,California Lutheran University,CA,18.00
Trevor Davis,California Lutheran University,CA,18.00
Erik Lorig,Stanford University,CA,16.25
Taylor Boggs,,CA,16.25
Cory Harkey,,CA,15.20
Seyi Ajirotutu,,CA,15.20
Derrick Coleman,,CA,14.50
Ryan Lindley,,CA,14.33
Alex Barrett,,CA,11.00
Alex Carter,Stanford University,CA,11.00
Alex Carter,,CA,11.00
Billy Volek,,CA,11.00
Brett Swain,,CA,11.00
Carl Ihenacho,,CA,11.00
Chase Thomas,Stanford University,CA,11.00
Conor McDermott,,CA,11.00
Daniel Lasco,California Lutheran University,CA,11.00
David Carr,,CA,11.00
DeMarco Sampson,,CA,11.00
Deandre Coleman,California Lutheran University,CA,11.00
Devon Wylie,,CA,11.00
Dominique Curry,,CA,11.00
Eric Bakhtiari,San Diego City College,CA,11.00
Eric Pinkins,,CA,11.00
Ernest Owusu,California Lutheran University,CA,11.00
Isaiah Burse,,CA,11.00
Isaiah Green,,CA,11.00
J.P. Losman,,CA,11.00
James Nixon,,CA,11.00
Jarron Gilbert,,CA,11.00
Jason Shirley,,CA,11.00
Jeff Baca,,CA,11.00
Jordan Payton,,CA,11.00
Justin Cheadle,California Lutheran University,CA,11.00
Justin Watson,,CA,11.00
Kassim Osgood,,CA,11.00
Keith Browner,California Lutheran University,CA,11.00
Keith Browner,,CA,11.00
Kirk Chambers,Stanford University,CA,11.00
Lonyae Miller,,CA,11.00
Marcel Jensen,,CA,11.00
Mario Kurn,San Diego City College,CA,11.00
Matthew Masifilo,Stanford University,CA,11.00
Nelson Rosario,,CA,11.00
Owen Marecic,Stanford University,CA,11.00
Pannel Egboh,Stanford University,CA,11.00
Roberto Wallace,,CA,11.00
Ryan Whalen,Stanford University,CA,11.00
Sean Cattouse,California Lutheran University,CA,11.00
Shane Smith,,CA,11.00
Stefan McClure,California Lutheran University,CA,11.00
Stephen Burton,,CA,11.00
Stephen Spach,,CA,11.00
Terrell Watson,Azusa Pacific University,CA,11.00
Tevin McDonald,,CA,11.00
Thomas Duarte,,CA,11.00
Tom Brandstater,,CA,11.00
Tommie Draheim,,CA,11.00
Tony Dye,,CA,11.00
Trent Edwards,Stanford University,CA,11.00
Tyler Clutts,,CA,11.00
Will Ta'ufo'ou,California Lutheran University,CA,11.00
Akiem Hicks,,canada,76.86
Laurent Duvernay-Tardif,,canada,75.50
Israel Idonije,,canada,71.33
David Onyemata,,canada,52.33
Brett Jones,,canada,51.00
Jon Ryan,,canada,47.29
Cory Greenwood,,canada,32.00
Tyler Varga,,canada,11.00
Jacques Cesaire,,CN,32.00
David Bakhtiari,Colorado State University,CO,94.33
Nate Solder,Colorado State University,CO,88.88
Mike Brisiel,,CO,83.00
Vincent Jackson,University of Northern Colorado,CO,79.83
Erik Pears,,CO,79.40
Weston Richburg,,CO,72.80
Chidobe Awuzie,Colorado State University,CO,66.00
Jimmy Smith,Colorado State University,CO,65.88
Jimmy Smith,Purdue University,CO,65.88
Jimmy Smith,,CO,65.88
Jimmy Smith,,CO,65.88
Tyler Polumbus,Colorado State University,CO,63.40
Ahkello Witherspoon,Colorado State University,CO,62.50
Cory James,,CO,62.50
Reed Doughty,University of Northern Colorado,CO,61.33
Clark Haggans,,CO,60.50
Justin Bannan,Colorado State University,CO,59.67
Joey Porter,,CO,59.00
Ryan Jensen,,CO,57.00
Ken Crawley,Colorado State University,CO,54.00
Andre Gurode,Colorado State University,CO,53.50
Mason Crosby,Colorado State University,CO,53.38
Shelley Smith,,CO,51.67
Tedric Thompson,Colorado State University,CO,49.00
Aaron Smith,University of Northern Colorado,CO,48.00
Aaron Smith,,CO,48.00
Tyler Brayton,Colorado State University,CO,48.00
Shaquil Barrett,,CO,47.40
Ty Sambrailo,,CO,46.75
Brad Jones,Colorado State University,CO,45.40
Mike Davis,South Carolina State University,CO,45.25
Joel Dreessen,,CO,43.00
Ben Garland,,CO,41.80
Rashard Higgins,,CO,41.67
Morgan Fox,,CO,40.00
Crockett Gillmore,,CO,34.00
DeAndre Elliott,,CO,32.00
Donald Strickland,Colorado State University,CO,32.00
Jesse Nading,,CO,32.00
Caleb Hanie,,CO,29.50
Justin Drescher,Colorado State University,CO,29.00
Jalil Brown,Colorado State University,CO,26.80
Kapri Bibbs,,CO,26.75
Brendan Langley,Lamar Community College,CO,21.50
Lawrence Vickers,Colorado State University,CO,21.50
Greg Jones,Colorado State University,CO,20.60
Greg Jones,,CO,20.60
Greg Jones,,CO,20.60
Greg Jones,,CO,20.60
Daniel Munyer,Colorado State University,CO,18.00
Brian Iwuh,Colorado State University,CO,11.00
Cariel Brooks,,CO,11.00
Chad Hall,,CO,11.00
Daniel Graham,Colorado State University,CO,11.00
Garrett Grayson,,CO,11.00
Josh Tupou,Colorado State University,CO,11.00
Marcus Jackson,Lamar Community College,CO,11.00
Marcus Jackson,Purdue University,CO,11.00
Nick Kasa,Colorado State University,CO,11.00
Ryan Miller,Colorado State University,CO,11.00
