,Player,AV_Percentile,State,College
61,Adrian Awasom,11.0,TX,University of North Texas
62,Adrian Clayborn,55.0,IA,Iowa State University
63,Adrian Colbert,48.0,FL,
64,Adrian Hamilton,11.0,TX,Prairie View A&M University
65,Adrian Moten,21.5,MD,College of Southern Maryland
66,Adrian Peterson,74.625,OK,East Oklahoma State College
67,Adrian Peterson,74.625,OK,Georgia Southern University
68,Adrian Phillips,47.0,TX,North Central Texas College
69,Adrian Robinson,21.5,TX,Temple College
70,Adrian Tracy,32.0,VA,
71,Adrian Wilson,84.0,NC,
72,Adrien Robinson,11.0,OH,University of Cincinnati
73,Ahkello Witherspoon,62.5,CO,Colorado State University
74,Ahmad Black,30.333333333333332,FL,Central Florida Community College
75,Ahmad Bradshaw,66.8,PA,Franklin and Marshall College
76,Ahmad Brooks,82.71428571428571,TX,North Central Texas College
77,Ahmad Dixon,11.0,TX,Baylor University
78,Ahmard Hall,11.0,TX,North Central Texas College
79,Ahtyba Rubin,78.85714285714286,IA,
80,Akeem Ayers,64.0,CA,
81,Akeem Hunt,25.0,IN,Purdue University
82,Akeem Jordan,52.25,VA,James Madison University
83,Akeem King,21.5,CA,
84,Akeem Spence,67.33333333333333,IL,Eastern Illinois University
85,Akiem Hicks,76.85714285714286,canada,
86,Akwasi Owusu-Ansah,18.0,IN,
87,Al Afalava,32.0,OR,
88,Al Harris,48.0,TX,
89,Al Harris,48.0,TX,
90,Al Louis-Jean,11.0,MA,
91,Al Woods,52.0,LA,
92,Al-Quadin Muhammad,35.0,FL,
93,Alameda Ta'amu,30.333333333333332,WA,Central Washington University
94,Alan Ball,52.0,IL,Eastern Illinois University
95,Alan Branch,79.0,MI,Central Michigan University
96,Alan Cross,11.0,TN,University of Memphis
97,Alani Fua,29.5,UT,
98,Albert Haynesworth,48.0,TN,East Tennessee State University
99,Albert McClellan,50.0,PA,Franklin and Marshall College
100,Albert Wilson,65.8,GA,
101,Aldon Smith,69.8,MO,Missouri Southern State University
102,Aldrick Robinson,46.666666666666664,TX,
103,Aldrick Rosas,52.5,OR,
104,Alec Ogletree,86.0,GA,Coastal Georgia Community College
105,Alejandro Villanueva,90.75,KS,
106,Alex Albright,40.0,MA,
107,Alex Anzalone,57.0,FL,Central Florida Community College
108,Alex Armah,21.5,GA,
109,Alex Balducci,11.0,OR,Oregon State University
110,Alex Barrett,11.0,CA,
111,Alex Bayer,11.0,OH,Bowling Green State University
112,Alex Carrington,37.4,AK,
113,Alex Carter,11.0,CA,Stanford University
114,Alex Carter,11.0,CA,
115,Alex Collins,66.66666666666667,AR,Arkansas State University
116,Alex Ellis,11.0,TN,East Tennessee State University
117,Alex Green,31.666666666666668,HI,Hawaii Pacific University
118,Alex Green,31.666666666666668,HI,Indiana State University
119,Alex Henery,43.25,NE,University of Nebraska at Kearney
120,Alex Lewis,66.0,NE,University of Nebraska at Kearney
121,Alex Lewis,66.0,NE,University of Wisconsin at La Crosse
122,Alex Mack,85.875,CA,California Lutheran University
123,Alex Okafor,64.5,TX,North Central Texas College
124,Alex Parsons,48.0,SC,
125,Alex Redmond,48.0,CA,
126,Alex Silvestro,11.0,NJ,"Rutgers, the State University of New Jersey"
127,Alex Smith,63.61538461538461,UT,College of Eastern Utah
128,Alex Smith,63.61538461538461,UT,Stanford University
129,Alex Tanney,11.0,NJ,Monmouth University
130,Alfonso Smith,21.5,KY,Eastern Kentucky University
131,Alfred Blue,63.8,LA,
132,Ali Marpet,83.0,NY,Hobart and William Smith Colleges
133,Allen Bailey,59.0,FL,
134,Allen Barbre,43.333333333333336,MO,Missouri Southern State University
135,Allen Bradford,15.2,SC,
136,Allen Hurns,67.8,FL,
137,Allen Reisner,11.0,IA,Iowa State University
138,Allen Robinson,66.0,PA,
139,Alonzo Harris,11.0,LA,
140,Alphonso Smith,29.5,NC,Wake Forest University
141,Alshon Jeffery,82.28571428571429,SC,South Carolina State University
142,Alterraun Verner,63.857142857142854,CA,
143,Alvester Alexander,11.0,WY,University of Wyoming
144,Alvin Bailey,54.0,AR,Arkansas State University
145,Alvin Kamara,99.0,TN,East Tennessee State University
146,Amara Darboh,32.0,MI,Central Michigan University
147,Amari Cooper,89.0,AL,University of Alabama
148,Amari Spievey,58.5,IA,Iowa State University
149,Amarlo Herrera,11.0,GA,Coastal Georgia Community College
150,Ameer Abdullah,47.25,NE,University of Nebraska at Kearney
151,Amini Silatolu,51.333333333333336,TX,
152,Amobi Okoye,40.0,KY,University of Louisville
153,Amon Gordon,48.0,CA,Stanford University
154,Anderson Russell,11.0,OH,
155,Andra Davis,48.0,FL,Central Florida Community College
156,Andre Branch,57.285714285714285,SC,Clemson University
157,Andre Brown,62.5,FL,
158,Andre Brown,62.5,FL,
159,Andre Caldwell,28.0,FL,Central Florida Community College
160,Andre Carter,52.333333333333336,CA,California Lutheran University
161,Andre Ellington,61.6,SC,Clemson University
162,Andre Fluellen,32.0,FL,
163,Andre Gurode,53.5,CO,Colorado State University
164,Andre Hal,62.2,TN,Vanderbilt University
165,Andre Holmes,40.0,MI,Hillsdale College
166,Andre Neblett,30.333333333333332,TX,Temple College
167,Andre Roberts,56.0,SC,The Citadel
168,Andre Smith,57.90909090909091,AL,University of Alabama
169,Andre Smith,57.90909090909091,AL,
170,Andre Williams,39.25,MA,
171,Andre' Goodman,85.0,SC,South Carolina State University
172,Andrew Adams,56.333333333333336,CT,Central Connecticut State University
173,Andrew Billings,69.0,TX,Baylor University
174,Andrew Datko,11.0,FL,
175,Andrew DePaola,27.8,NJ,"Rutgers, the State University of New Jersey"
176,Andrew Donnal,30.75,IA,Iowa State University
177,Andrew Economos,25.0,GA,
178,Andrew Franks,53.5,NY,
179,Andrew Gachkar,36.142857142857146,MO,Missouri Southern State University
180,Andrew Gardner,23.666666666666668,GA,
181,Andrew Hawkins,58.166666666666664,OH,University of Toledo
182,Andrew Jackson,21.5,KY,
183,Andrew Jackson,21.5,KY,
184,Andrew Jackson,21.5,KY,
185,Andrew McDonald,11.0,IN,Indiana State University
186,Andrew Norwell,76.2,OH,
187,Andrew Quarless,31.6,PA,
188,Andrew Sendejo,52.875,TX,Rice University
189,Andrew Szczerba,11.0,PA,
190,Andrew Tiller,35.0,NY,Syracuse University
191,Andrew Turzilli,11.0,NJ,"Rutgers, the State University of New Jersey"
192,Andrew Whitworth,95.125,LA,
193,Andrus Peat,90.75,CA,Stanford University
194,Andy Dalton,95.625,TX,
195,Andy Gallik,59.0,MA,
196,Andy Janovich,25.0,NE,University of Nebraska at Kearney
197,Andy Levitre,80.375,OR,
198,Andy Mulumba,23.333333333333332,MI,
199,Andy Studebaker,36.4,MA,Wheaton College
200,Angelo Blackson,44.5,AL,Auburn University
201,Anquan Boldin,85.66666666666667,FL,
202,Anthony Adams,59.0,PA,
203,Anthony Allen,21.5,WA,Central Washington University
204,Anthony Allen,21.5,WA,University of Louisville
205,Anthony Barr,92.4,CA,
206,Anthony Becht,11.0,WV,West Virginia State University
207,Anthony Brown,66.0,UT,College of Eastern Utah
208,Anthony Brown,66.0,UT,Purdue University
209,Anthony Castonzo,83.875,MA,
210,Anthony Collins,43.75,KS,Kansas City Kansas Community College
211,Anthony Davis,67.4,UT,College of Eastern Utah
212,Anthony Davis,67.4,UT,"Rutgers, the State University of New Jersey"
213,Anthony Davis,67.4,UT,
214,Anthony Davis,67.4,UT,
215,Anthony Denham,11.0,UT,College of Eastern Utah
216,Anthony Dixon,37.4,MS,
217,Anthony Fabiano,32.0,MA,Harvard University
218,Anthony Fasano,47.57142857142857,IN,University of Notre Dame
219,Anthony Gaitor,21.5,FL,Florida International University
220,Anthony Gonzalez,11.0,OH,
221,Anthony Hargrove,48.0,GA,
222,Anthony Harris,48.5,AL,Auburn University
223,Anthony Harris,48.5,AL,Medical College of Virginia
224,Anthony Herrera,79.0,TN,East Tennessee State University
225,Anthony Hill,11.0,NC,
226,Anthony Hitchens,79.0,IA,Iowa State University
227,Anthony Johnson,21.5,IN,
228,Anthony Levine,33.57142857142857,TN,
229,Anthony Madison,11.0,AL,University of Alabama
230,Anthony McCoy,34.0,SC,
231,Anthony Miller,66.0,CA,
232,Anthony Sherman,28.285714285714285,CT,Central Connecticut State University
233,Anthony Smith,32.0,NY,Syracuse University
234,Anthony Smith,32.0,NY,University of Alabama
235,Anthony Spencer,58.25,IN,Purdue University
236,Anthony Steen,53.5,AL,University of Alabama
237,Anthony Toribio,32.0,TN,Carson-Newman College
238,Anthony Walker,60.5,OK,Northwestern Oklahoma State University
239,Anthony Walters,21.5,PA,Delaware County Community College
240,Anthony Zettel,51.0,PA,
241,Antoine Bethea,75.25,TX,Howard College
242,Antoine Caldwell,53.5,AL,University of Alabama
243,Antoine Cason,68.25,AZ,Arizona State University
244,Antoine McClain,11.0,SC,Clemson University
245,Antoine Winfield,63.5,OH,
246,Antone Exum,37.5,VA,
247,Antone Smith,26.0,FL,
248,Antonio Allen,49.0,SC,South Carolina State University
249,Antonio Andrews,29.333333333333332,KY,
250,Antonio Brown,95.125,MI,West Virginia State University
251,Antonio Coleman,11.0,AL,Auburn University
252,Antonio Cromartie,78.5,FL,
253,Antonio Dixon,11.0,FL,
254,Antonio Garay,52.5,MA,
255,Antonio Gates,73.25,OH,
256,Antonio Hamilton,18.0,SC,
257,Antonio Smith,71.5,OK,
258,Antrel Rolle,77.4,FL,
259,Antwan Applewhite,32.0,CA,
260,Antwan Barnes,37.5,FL,Florida International University
261,Antwaun Molden,29.5,KY,
262,Antwaun Woods,85.0,SC,
263,Antwione Williams,48.0,GA,Georgia Southern University
264,Antwon Blake,45.8,TX,
265,Aqib Talib,83.25,KS,Kansas City Kansas Community College
266,ArDarius Stewart,32.0,AL,University of Alabama
267,Arie Kouandjio,34.0,AL,University of Alabama
268,Arik Armstead,53.25,OR,Oregon State University
269,Armando Allen,21.5,IN,University of Notre Dame
270,Armanti Edwards,18.0,,
271,Armon Binns,59.0,OH,University of Cincinnati
272,Armonty Bryant,28.25,OK,
273,Arnaz Battle,11.0,IN,University of Notre Dame
274,Arrelious Benn,28.25,IL,Eastern Illinois University
275,Arthur Brown,26.75,KA,
276,Arthur Jones,54.666666666666664,NY,Syracuse University
277,Arthur Moats,55.57142857142857,VA,James Madison University
278,Artie Burns,70.33333333333333,FL,
279,Artis Hicks,32.0,TN,University of Memphis
280,Asante Cleveland,11.0,FL,
281,Asante Samuel,74.33333333333333,FL,Central Florida Community College
282,Asher Allen,59.0,GA,Coastal Georgia Community College
283,Ashlee Palmer,53.0,MS,Mississippi College
284,Ashton Youboty,59.0,OH,
285,Aston Whiteside,11.0,TX,
286,Atari Bigby,57.0,FL,Central Florida Community College
287,Aubrayo Franklin,70.33333333333333,TN,East Tennessee State University
288,Audie Cole,34.2,NC,
289,Austen Lane,34.0,OK,
290,Austin Blythe,58.333333333333336,IA,Iowa State University
291,Austin Carr,21.5,OK,Northwestern Oklahoma State University
292,Austin Collie,36.333333333333336,UT,
293,Austin Hooper,70.33333333333333,CA,Stanford University
294,Austin Howard,71.14285714285714,IA,University of Northern Iowa
295,Austin Johnson,39.0,TN,East Tennessee State University
296,Austin Johnson,39.0,TN,
297,Austin Pasztor,48.285714285714285,VA,Medical College of Virginia
298,Austin Pettis,44.5,ID,
299,Austin Reiter,34.0,FL,South Florida Community College
300,Austin Seferian-Jenkins,46.0,WA,Central Washington University
301,Austin Shepherd,32.0,AL,University of Alabama
302,Austin Spitler,37.333333333333336,OH,
303,Austin Wentworth,32.0,CA,
304,Auston English,11.0,OK,East Oklahoma State College
305,Avery Moss,48.0,OH,
306,Avery Williamson,85.0,KY,Eastern Kentucky University
307,Aviante Collins,11.0,TX,
308,Ayodeji Olatoye,18.0,NC,
309,B.J. Bello,21.5,IL,
310,B.J. Coleman,11.0,TN,
311,B.J. Cunningham,11.0,MI,
312,B.J. Daniels,11.0,FL,South Florida Community College
313,B.J. Finney,51.666666666666664,KA,
314,B.J. Goodson,56.666666666666664,SC,Clemson University
315,B.J. Raji,82.0,MA,
316,B.W. Webb,44.2,VA,
317,Bacarri Rambo,44.5,GA,Coastal Georgia Community College
318,Bam Bradley,11.0,PA,University of Pittsburgh
319,Barkevious Mingo,64.16666666666667,LA,
320,Baron Batch,32.0,TX,Texas Tech University
321,Barrett Jones,21.5,AL,University of Alabama
322,Barrett Ruud,52.5,NE,University of Nebraska at Kearney
323,Barry Church,63.375,OH,University of Toledo
324,Barry Cofield,60.4,OK,Northwestern Oklahoma State University
325,Bart Scott,91.0,IL,Southern Illinois University Carbondale
326,Bashaud Breeland,73.8,SC,Clemson University
327,Beanie Wells,55.5,OH,
328,Bear Pascoe,19.4,CA,
329,Beau Allen,52.8,WI,University of Wisconsin at La Crosse
330,Beau Brinkley,32.0,MO,Missouri Southern State University
331,Ben Bass,11.0,TX,
332,Ben Edwards,11.0,VA,University of Richmond
333,Ben Garland,41.8,CO,
334,Ben Gedeon,81.0,MI,Central Michigan University
335,Ben Gottschalk,11.0,TX,
336,Ben Graham,21.5,australia,
337,Ben Grubbs,84.6,AL,Auburn University
338,Ben Heeney,30.333333333333332,KS,Kansas City Kansas Community College
339,Ben Ijalana,28.8,PA,Villanova University
340,Ben Jacobs,25.0,CA,
341,Ben Jones,74.85714285714286,GA,Coastal Georgia Community College
342,Ben Jones,74.85714285714286,GA,
343,Ben Koyack,18.0,IN,University of Notre Dame
344,Ben Leber,48.0,KA,
345,Ben Obomanu,36.333333333333336,AL,Auburn University
346,Ben Roethlisberger,97.25,OH,
347,Ben Tate,61.75,AL,Auburn University
348,Ben Watson,62.285714285714285,NC,Duke University
349,BenJarvus Green-Ellis,80.0,MS,Mississippi College
350,Benardrick McKinney,89.25,MS,
351,Bene Benwikere,49.2,CA,
352,Bennie Fowler,40.0,MI,
353,Bennie Logan,73.83333333333333,LA,
354,Benny Cunningham,44.0,TN,
355,Benny Sapp,32.0,IA,Iowa State University
356,Bernard Berrian,32.0,CA,
357,Bernard Pierce,48.75,TX,Temple College
358,Bernard Pollard,69.75,IN,Purdue University
359,Bernard Reedy,11.0,OH,University of Toledo
360,Bernard Scott,27.0,TX,
361,Bert Reed,11.0,FL,
362,Bilal Powell,58.125,KY,University of Louisville
363,Bill Bentley,25.5,LA,
364,Bill Nagy,29.5,WI,University of Wisconsin at La Crosse
365,Billy Bajema,11.0,OK,
366,Billy Cundiff,24.6,IA,Drake University
367,Billy Turner,40.0,ND,
368,Billy Volek,11.0,CA,
369,Billy Winn,57.8,ID,
370,Bishop Sankey,57.0,WA,Central Washington University
371,Bjoern Werner,55.0,FL,
372,Blaine Gabbert,43.5,MO,Missouri Southern State University
373,Blair Brown,40.0,OH,Miami University of Ohio
374,Blair Walsh,55.4,GA,Coastal Georgia Community College
375,Blair White,11.0,MI,
376,Blake Annen,11.0,OH,University of Cincinnati
377,Blake Bell,21.5,OK,East Oklahoma State College
378,Blake Costanzo,37.333333333333336,PA,Lafayette College
379,Blake Countess,37.333333333333336,AL,Auburn University
380,Blake Gideon,11.0,TX,North Central Texas College
381,Blake Jarwin,35.0,OK,
382,Blidi Wreh-Wilson,34.6,CT,Central Connecticut State University
383,Bobbie Williams,59.0,AR,Arkansas State University
384,Bobby Carpenter,35.0,OH,
385,Bobby Felder,11.0,LA,
386,Bobby Massie,77.14285714285714,MS,Mississippi College
387,Bobby McCain,59.75,TN,University of Memphis
388,Bobby Rainey,37.5,KY,
389,Bobby Wagner,97.71428571428571,UT,
390,Brad Bars,11.0,PA,
391,Brad Herman,11.0,IA,Iowa State University
392,Brad Jones,45.4,CO,Colorado State University
393,Brad Maynard,11.0,IN,
394,Brad Meester,77.0,IA,University of Northern Iowa
395,Brad Nortman,46.333333333333336,WI,University of Wisconsin at La Crosse
396,Brad Smelley,11.0,AL,University of Alabama
397,Brad Smith,40.25,MO,Missouri Southern State University
398,Brad Smith,40.25,MO,
399,Brad Wing,46.75,LA,
400,Bradie Ewing,11.0,WI,University of Wisconsin at La Crosse
401,Bradie James,84.0,LA,
402,Bradley Fletcher,55.2,IA,Iowa State University
403,Bradley Marquez,16.25,TX,Texas Tech University
404,Bradley McDougald,59.166666666666664,KS,Kansas City Kansas Community College
405,Bradley Pinion,40.0,SC,Clemson University
406,Bradley Roby,60.8,OH,
407,Bradley Sowell,44.714285714285715,MS,Mississippi College
408,Brady Poppinga,55.5,UT,
409,Brady Quinn,0.0,IN,University of Notre Dame
410,Bralon Addison,11.0,OR,Oregon State University
411,Branden Jackson,25.0,TX,Texas Tech University
412,Branden Oliver,47.666666666666664,NY,Buffalo State College
413,Brandian Ross,43.75,OH,
414,Brandin Cooks,91.2,OR,
415,Brandon Bair,25.0,OR,Oregon State University
416,Brandon Banks,11.0,KA,
417,Brandon Barden,11.0,TN,Vanderbilt University
418,Brandon Bolden,39.0,MS,Mississippi College
419,Brandon Bostick,16.25,SC,Newberry College
420,Brandon Boykin,48.5,GA,Coastal Georgia Community College
421,Brandon Brooks,72.71428571428571,OH,
422,Brandon Browner,70.6,OR,
423,Brandon Burks,11.0,AL,Troy University
424,Brandon Burton,18.0,UT,College of Eastern Utah
425,Brandon Carr,79.75,MI,
426,Brandon Carter,32.0,TX,Texas Tech University
427,Brandon Coleman,60.0,NJ,"Rutgers, the State University of New Jersey"
428,Brandon Copeland,45.666666666666664,PA,Bloomsburg University of Pennsylvania
429,Brandon Coutu,11.0,GA,Coastal Georgia Community College
430,Brandon Deaderick,45.5,AL,University of Alabama
431,Brandon Dixon,40.0,MO,
432,Brandon Dunn,38.6,KY,University of Louisville
433,Brandon Fields,51.4,MI,
434,Brandon Flowers,69.5,VA,
435,Brandon Fusco,67.5,PA,Slippery Rock University of Pennsylvania
436,Brandon Ghee,26.75,NC,Wake Forest University
437,Brandon Gibson,57.0,WA,
438,Brandon Graham,63.625,MI,Central Michigan University
439,Brandon Hardin,11.0,OR,
440,Brandon Harris,26.75,FL,
441,Brandon Hughes,25.0,OR,
442,Brandon Jackson,11.0,NE,University of Nebraska at Kearney
443,Brandon Jacobs,38.666666666666664,IL,Southern Illinois University Carbondale
444,Brandon Jenkins,11.0,FL,
445,Brandon Keith,73.0,IA,University of Northern Iowa
446,Brandon King,25.0,AL,Auburn University
447,Brandon King,25.0,AL,Purdue University
448,Brandon LaFell,74.5,LA,
449,Brandon Linder,65.6,FL,
450,Brandon Lloyd,72.0,IL,Eastern Illinois University
451,Brandon Magee,32.0,AZ,
452,Brandon Marshall,68.33333333333333,FL,Central Florida Community College
453,Brandon Marshall,68.33333333333333,FL,University of Nevada-Las Vegas
454,Brandon McDonald,32.0,TN,University of Memphis
455,Brandon McGee,18.0,FL,
456,Brandon McKinney,21.5,MI,
457,Brandon McManus,52.8,TX,Temple College
458,Brandon Mebane,84.125,CA,California Lutheran University
459,Brandon Meriweather,51.4,FL,
460,Brandon Moore,81.0,NC,Duke University
461,Brandon Moore,81.0,NC,East Oklahoma State College
462,Brandon Moore,81.0,NC,Eastern Illinois University
463,Brandon Mosley,25.0,AL,Auburn University
464,Brandon Myers,40.833333333333336,IA,Iowa State University
465,Brandon Pettigrew,54.8,OK,
466,Brandon Saine,21.5,OH,
467,Brandon Scherff,83.25,IA,Iowa State University
468,Brandon Shell,66.66666666666667,SC,South Carolina State University
469,Brandon Siler,48.0,FL,Central Florida Community College
470,Brandon Smith,11.0,AZ,
471,Brandon Spikes,64.4,FL,Central Florida Community College
472,Brandon Stokley,38.666666666666664,LA,
473,Brandon Tate,32.75,NC,North Carolina A&T State University
474,Brandon Taylor,32.0,LA,
475,Brandon Thompson,37.0,SC,Clemson University
476,Brandon Washington,11.0,FL,
477,Brandon Watts,11.0,GA,
478,Brandon Weeden,50.0,OK,
479,Brandon Wegher,11.0,IA,Morningside College
480,Brandon Wilds,11.0,SC,South Carolina State University
481,Brandon Williams,49.84615384615385,MO,Missouri Southern State University
482,Brandon Williams,49.84615384615385,MO,Oregon State University
483,Brandon Williams,49.84615384615385,MO,Texas Tech University
484,Brandon Williams,49.84615384615385,MO,University of Wisconsin at La Crosse
485,Brandon Williams,49.84615384615385,MO,
486,Brandon Wilson,21.5,TX,Houston Baptist University
487,Brandyn Dombrowski,35.0,CA,
488,Brandyn Thompson,32.0,ID,
489,Braxton Miller,32.0,OH,
490,Braylon Broughton,11.0,TX,
491,Braylon Edwards,48.0,MI,Central Michigan University
492,Brendan Langley,21.5,CO,Lamar Community College
493,Brendon Ayanbadejo,53.5,CA,
494,Brennan Scarlett,46.333333333333336,CA,California Lutheran University
495,Brennen Beyer,11.0,MI,Central Michigan University
496,Breno Giacomini,75.28571428571429,KY,University of Louisville
497,Brent Celek,56.42857142857143,OH,University of Cincinnati
498,Brent Grimes,73.375,PA,Shippensburg University of Pennsylvania
499,Brent Qvale,50.75,NE,University of Nebraska at Kearney
500,Brenton Bersin,26.75,SC,Wofford College
501,Breshad Perriman,46.333333333333336,FL,Central Florida Community College
502,Brett Brackett,11.0,PA,
503,Brett Goode,29.0,AR,Arkansas State University
504,Brett Hundley,42.0,CA,
505,Brett Jones,51.0,canada,
506,Brett Keisel,78.25,UT,
507,Brett Kern,53.75,OH,University of Toledo
508,Brett Romberg,11.0,FL,
509,Brett Swain,11.0,CA,
510,Brian Allen,25.0,UT,College of Eastern Utah
511,Brian Allen,25.0,UT,Stanford University
512,Brian Allen,25.0,UT,
513,Brian Arnfelt,11.0,OK,Northwestern Oklahoma State University
514,Brian Cushing,75.42857142857143,SC,
515,Brian De La Puente,68.2,CA,California Lutheran University
516,Brian Dixon,25.0,MO,
517,Brian Folkerts,25.0,KS,Washburn University
518,Brian Hill,32.0,WY,University of Wyoming
519,Brian Hoyer,46.75,MI,
520,Brian Iwuh,11.0,CO,Colorado State University
521,Brian Jackson,11.0,OK,East Oklahoma State College
522,Brian Jennings,11.0,AZ,
523,Brian Leonard,37.5,NJ,"Rutgers, the State University of New Jersey"
524,Brian Leonhardt,11.0,MN,
525,Brian Mihalik,29.5,MA,
526,Brian Moorman,39.333333333333336,PA,
527,Brian Orakpo,76.75,TX,North Central Texas College
528,Brian Parker,11.0,NY,
529,Brian Peters,32.0,OK,Northwestern Oklahoma State University
530,Brian Poole,60.0,FL,Central Florida Community College
531,Brian Price,30.4,CA,
532,Brian Price,30.4,CA,
533,Brian Quick,40.57142857142857,,
534,Brian Robiskie,11.0,OH,
535,Brian Robison,80.0,TX,North Central Texas College
536,Brian Rolle,45.0,OH,
537,Brian Sanford,18.0,TX,Temple College
538,Brian Schaefering,11.0,MO,
539,Brian Schwenke,49.0,CA,California Lutheran University
540,Brian Smith,11.0,AL,Auburn University
541,Brian Smith,11.0,AL,University of Notre Dame
542,Brian Tyms,18.0,FL,
543,Brian Waters,78.0,TX,University of North Texas
544,Brian Williams,11.0,AL,Birmingham-Southern College
545,Brian Williams,11.0,AL,"Minnesota State University, Mankato"
546,Brian Williams,11.0,AL,
547,Brian Williams,11.0,AL,
548,Brice Butler,41.0,CA,
549,Brice McCain,55.0,UT,College of Eastern Utah
550,Briean Boddy-Calhoun,61.333333333333336,MN,"Minnesota State University, Mankato"
551,Brit Miller,11.0,IL,Eastern Illinois University
552,Brittan Golden,23.6,TX,
553,Britton Colquitt,50.75,TN,East Tennessee State University
554,Brock Bolen,11.0,KY,University of Louisville
555,Brock Coyle,42.4,MT,
556,Brock Osweiler,40.857142857142854,AZ,
557,Brock Vereen,29.5,MN,"Minnesota State University, Mankato"
558,Brodney Pool,59.0,OK,East Oklahoma State College
559,Brodrick Bunkley,72.75,FL,
560,Brody Eldridge,11.0,OK,East Oklahoma State College
561,Bronson Hill,11.0,MI,
562,Bronson Kaufusi,21.5,UT,
563,Bront Bird,37.333333333333336,TX,Texas Tech University
564,Brooks Reed,73.875,AZ,Arizona State University
565,Bruce Campbell,11.0,MD,College of Southern Maryland
566,Bruce Carter,49.25,NC,North Carolina A&T State University
567,Bruce Davis,11.0,TX,Baylor University
568,Bruce Davis,11.0,TX,
569,Bruce Davis,11.0,TX,
570,Bruce Ellington,42.75,SC,South Carolina State University
571,Bruce Gaston,32.0,IN,Purdue University
572,Bruce Gradkowski,11.0,OH,University of Toledo
573,Bruce Irvin,79.14285714285714,WV,West Virginia State University
574,Bruce Miller,37.4,FL,Central Florida Community College
575,Bryan Anger,52.0,CA,California Lutheran University
576,Bryan Braman,29.0,TX,
577,Bryan Bulaga,82.57142857142857,IA,Iowa State University
578,Bryan Cox,32.0,IL,
579,Bryan Hall,11.0,AK,
580,Bryan Kehl,18.0,UT,
581,Bryan Mattison,29.5,IA,Iowa State University
582,Bryan McCann,18.0,TX,
583,Bryan Scott,59.0,PA,
584,Bryan Stork,75.5,FL,
585,Bryan Thomas,63.5,AL,
586,Bryan Walters,28.666666666666668,IA,Cornell College
587,Bryan Witzmann,58.666666666666664,SD,
588,Bryant Browning,11.0,OH,
589,Bryant McFadden,32.0,FL,
