Player,college,state,WAR
Chris Perez,University of Miami,FL,66.25
Chris Pettit,Loyola Marymount University,CA,66.25
Chris Ray,College of William and Mary,VA,66.25
Chris Robinson,University of Illinois at Urbana-Champaign,IL,40.76
Chris Rusin,University of Kentucky,KY,40.76
Chris Sale,Florida Gulf Coast University,FL,61.83
Chris Snyder,University of Houston,TX,84.50
Chris Stewart,Riverside Community College,CA,86.22
Chris Valaika,"University of California, Santa Barbara",CA,80.83
Chris Woodward,Mount San Antonio College,CA,40.76
Chris Young,Princeton University,NJ,76.41
Christian Friedrich,Eastern Kentucky University,KY,40.76
Chuck James,Chattahoochee Valley Community College,AL,40.76
Clay Buchholz,McNeese State University,LA,40.76
Clay Hensley,Lamar University,TX,40.76
Clay Rapada,Virginia State University,VA,66.25
Clayton Mortensen,Gonzaga University,WA,40.76
Clayton Richard,University of Michigan,MI,40.76
Clete Thomas,Auburn University,AL,40.76
Cliff Lee,University of Arkansas,AR,82.49
Cliff Pennington,Texas A&M University,TX,83.12
Clint Barmes,Olney Central College,IL,88.29
Clint Robinson,Troy University,AL,40.76
Coco Crisp,Los Angeles Pierce College,CA,87.83
Cody Allen,High Point University,NC,40.76
Cody Asche,University of Nebraska at Lincoln,NE,40.76
Cody Clark,University of Arkansas,AR,40.76
Cody Eppley,Virginia Commonwealth University,VA,40.76
Cody Ransom,South Mountain Community College,AZ,40.76
Colby Lewis,Bakersfield College,CA,70.38
Cole Gillespie,Oregon State University,OR,78.19
Cole Kimball,Centenary College,NJ,70.38
Collin Cowgill,University of Kentucky,KY,83.12
Colt Hynes,Texas Tech University,TX,40.76
Conor Gillaspie,Wichita State University,KS,71.70
Conor Jackson,"University of California, Berkeley",CA,70.38
Cord Phelps,Stanford University,CA,40.76
Corey Brown,Oklahoma State University,OK,61.83
Corey Kluber,Stetson University,FL,40.76
Corey Knebel,University of Texas at Austin,TX,40.76
Corky Miller,San Bernardino Valley College,CA,40.76
Cory Burns,University of Arizona,AZ,40.76
Cory Gearrin,Mercer University,GA,71.70
Cory Luebke,The Ohio State University,OH,81.52
Cory Wade,Kentucky Wesleyan College,KY,61.83
Craig Breslow,Yale University,CT,74.23
Craig Counsell,University of Notre Dame,IN,80.83
Craig Gentry,University of Arkansas,AR,87.03
Craig Stammen,University of Dayton,OH,61.83
Craig Tatum,Mississippi State University,MS,40.76
Curtis Granderson,University of Illinois at Chicago,IL,88.75
D.J. Carrasco,Pima Community College,AZ,74.23
D.J. Mitchell,Clemson University,SC,40.76
Dallas Braden,American River College,CA,40.76
Dallas Keuchel,University of Arkansas,AR,40.76
Dallas McPherson,The Citadel,SC,40.76
Dan Haren,Pepperdine University,CA,78.19
Dan Jennings,University of Nebraska at Lincoln,NE,40.76
Dan Johnson,Butler University,IN,40.76
Dan Otero,Duke University,NC,40.76
Dan Runzler,"University of California, Riverside",CA,76.41
Dan Straily,Marshall University,WV,40.76
Dan Uggla,University of Memphis,TN,86.80
Dan Wheeler,Central Arizona College,AZ,61.83
Dana Eveland,College of the Canyons,CA,61.83
Dane Sardinha,Pepperdine University,CA,79.79
Daniel Bard,University of North Carolina at Chapel Hill,NC,75.37
Daniel Descalso,"University of California, Davis",CA,84.16
Daniel Hudson,Old Dominion University,VA,84.85
Daniel McCutchen,University of Central Oklahoma,OK,61.83
Daniel Moskos,Clemson University,SC,66.25
Daniel Murphy,Jacksonville University,FL,87.94
Daniel Schlereth,University of Arizona,AZ,61.83
Daniel Stange,"University of California, Riverside",CA,40.76
Danny Espinosa,California State University Long Beach,CA,87.94
Danny Farquhar,University of Louisiana at Lafayette,LA,40.76
Danny Herrera,University of New Mexico,NM,71.70
Danny Valencia,University of Miami,FL,40.76
Danny Worth,Pepperdine University,CA,61.83
Darin Mastroianni,University of Southern Indiana,IN,40.76
Darin Ruf,Creighton University,NE,40.76
Darren O'Day,University of Florida,FL,40.76
Darwin Barney,Oregon State University,OR,87.26
Dave Bush,Wake Forest University,NC,74.23
Dave Sappelt,Coastal Carolina University,SC,61.83
David Aardsma,Pennsylvania State University,PA,40.76
David Adams,University of Virginia,VA,40.76
David Carpenter,West Virginia University,WV,74.23
David Cooper,"University of California, Berkeley",CA,40.76
David DeJesus,"Rutgers, the State University of New Jersey",NJ,85.76
David Freese,"St. Louis Community College, Meramec Campus",MO,87.49
David Hale,Princeton University,NJ,40.76
David Huff,"University of California, Irvine",CA,40.76
David Lough,Mercyhurst College,PA,40.76
David Murphy,Baylor University,TX,84.50
David Phelps,University of Notre Dame,IN,40.76
David Price,Vanderbilt University,TN,66.25
David Purcey,University of Oklahoma,OK,66.25
David Robertson,University of Alabama,AL,66.25
David Ross,Auburn University,AL,85.76
Derek Dietrich,Georgia Institute of Technology,GA,40.76
Deunte Heath,University of Tennessee,TN,40.76
Dillon Gee,University of Texas at Arlington,TX,40.76
DJ LeMahieu,Louisiana State University,LA,40.76
Dominic Leone,Clemson University,SC,40.76
Don Kelly,Point Park University,PA,83.58
Donnie Joseph,University of Houston,TX,40.76
Donnie Murphy,Orange Coast College,CA,40.76
Donnie Veal,Pima Community College,AZ,40.76
Donny Lucy,Stanford University,CA,68.89
Donovan Hand,Jacksonville State University,AL,40.76
Doug Bernier,Cuesta College,CA,40.76
Doug Davis,Diablo Valley College,CA,40.76
Doug Fister,California State University Fresno,CA,78.19
Doug Slaten,Los Angeles Pierce College,CA,61.83
Drew Butera,University of Central Florida,FL,40.76
Drew Carpenter,Sacramento City College,CA,74.23
Drew Pomeranz,University of Mississippi,MS,66.25
Drew Smyly,University of Arkansas,AR,40.76
Drew Storen,Stanford University,CA,61.83
Drew Stubbs,University of Texas at Austin,TX,87.14
Drew Sutton,Baylor University,TX,79.79
Duke Welker,University of Arkansas,AR,40.76
Dustin Ackley,University of North Carolina at Chapel Hill,NC,88.29
Dustin Pedroia,Arizona State University,AZ,89.32
Dusty Hughes,Delta State University,MS,70.38
Dylan Axelrod,"University of California, Irvine",CA,40.76
Ed Lucas,Dartmouth College,NH,40.76
Eddy Rodriguez,University of Miami,FL,40.76
Edwin Maysonet,Delta State University,MS,40.76
Efren Navarro,University of Nevada-Las Vegas,NV,61.83
Eli Whiteside,Delta State University,MS,40.76
Elih Villanueva,Florida International University,FL,61.83
Emmanuel Burriss,Kent State University,OH,40.76
Eric Farris,Loyola Marymount University,CA,71.70
Eric Fryer,The Ohio State University,OH,80.37
Eric Hinske,University of Arkansas,AR,71.70
Eric Patterson,Georgia Institute of Technology,GA,40.76
Eric Sogard,Arizona State University,AZ,80.83
Eric Surkamp,North Carolina State University,NC,61.83
Eric Thames,Pepperdine University,CA,82.49
Erik Bedard,Norwalk Community College,CT,75.37
Erik Davis,Stanford University,CA,40.76
Erik Hamren,University of the Pacific,CA,71.70
Erik Johnson,"University of California, Berkeley",CA,40.76
Erik Komatsu,California State University Fullerton,CA,40.76
Erik Kratz,Eastern Mennonite University,VA,70.38
Evan Crawford,Auburn University,AL,40.76
Evan Gattis,,,40.76
Evan Longoria,Rio Hondo College,CA,89.09
Evan Meek,Bellevue Community College,WA,68.89
Evan Reed,"California Polytechnic State University, San Luis Obispo",CA,40.76
Evan Scribner,Central Connecticut State University,CT,61.83
Everett Teaford,Georgia Southern University,GA,40.76
Fred Lewis,Mississippi Gulf Coast Community College,MS,82.09
Freddy Sanchez,Glendale Community College,CA,84.50
Gaby Sanchez,University of Miami,FL,87.83
Garrett Olson,"California Polytechnic State University, San Luis Obispo",CA,66.25
Garrett Richards,University of Oklahoma,OK,40.76
Geoff Blum,"University of California, Berkeley",CA,80.83
George Kontos,Northwestern University,IL,40.76
George Kottaras,Connors State College,OK,82.49
George Sherrill,Austin Peay State University,TN,61.83
Gerald Laird,Cypress College,CA,40.76
Gerrit Cole,"University of California, Los Angeles",CA,40.76
Glen Perkins,University of Minnesota,MN,66.25
Gordon Beckham,University of Georgia,GA,86.51
Graham Godfrey,College of Charleston,SC,71.70
Grant Green,University of Southern California,CA,40.76
Greg Dobbs,Riverside Community College,CA,40.76
Greg Holland,Western Carolina University,NC,71.70
Greg Reynolds,Stanford University,CA,66.25
Heath Bell,Santa Ana College,CA,75.37
Heath Hembree,College of Charleston,SC,40.76
Hector Ambriz,"University of California, Los Angeles",CA,40.76
Hiram Burgos,Bethune-Cookman College,FL,40.76
Howie Kendrick,St. Johns River Community College,FL,88.40
Hunter Pence,Texarkana College,TX,88.63
Huston Street,University of Texas at Austin,TX,61.83
Ian Kennedy,University of Southern California,CA,70.38
Ian Kinsler,Arizona State University,AZ,88.98
Ike Davis,Arizona State University,AZ,86.22
J.A. Happ,Northwestern University,IL,82.09
J.D. Martinez,Nova Southeastern University,FL,81.52
J.J. Putz,University of Michigan,MI,66.25
J.P. Arencibia,University of Tennessee,TN,86.05
J.P. Howell,University of Texas at Austin,TX,70.38
J.R. Towles,Collin College,TX,76.41
Jack Egbert,"Rutgers, the State University of New Jersey",NJ,40.76
Jack Hannahan,University of Minnesota,MN,87.72
Jack Wilson,Oxnard College,CA,86.05
Jackie Bradley Jr.,University of South Carolina,SC,40.76
Jacoby Ellsbury,Oregon State University,OR,89.49
Jake Arrieta,Texas Christian University,TX,75.37
Jake Dunning,Indiana University-Bloomington,IN,40.76
Jake Elmore,Arizona State University,AZ,40.76
Jake Fox,University of Michigan,MI,40.76
Jake Petricka,Indiana State University,IN,40.76
James Darnell,University of South Carolina,SC,40.76
James McDonald,Golden West College,CA,40.76
James Paxton,University of Kentucky,KY,40.76
James Russell,University of Texas at Austin,TX,61.83
Jamey Carroll,University of Evansville,IN,85.76
Jamie Moyer,St. Joseph's University,PA,40.76
Jared Burton,Western Carolina University,NC,74.23
Jared Hughes,California State University Long Beach,CA,70.38
Jason Bartlett,San Joaquin Delta College,CA,40.76
Jason Bay,Gonzaga University,WA,85.53
Jason Berken,Clemson University,SC,75.37
Jason Castro,Stanford University,CA,40.76
Jason Donald,University of Arizona,AZ,85.76
Jason Frasor,Southern Illinois University Carbondale,IL,71.70
Jason Giambi,California State University Long Beach,CA,85.76
Jason Grilli,Seton Hall University,NJ,71.70
Jason Hammel,Treasure Valley Community College,OR,78.19
Jason Isringhausen,Lewis & Clark Community College,IL,70.38
Jason Jaramillo,Oklahoma State University,OK,77.21
Jason Kipnis,Arizona State University,AZ,85.53
Jason Lane,Santa Rosa Junior College,CA,40.76
Jason Michaels,Northwest Florida State College,FL,40.76
Jason Motte,Iona College,NY,66.25
Jason Vargas,Cypress College,CA,61.83
Jason Varitek,Georgia Institute of Technology,GA,84.16
Javier Lopez,University of Virginia,VA,68.89
Jay Buente,Purdue University,IN,74.23
Jay Gibbons,California State University Los Angeles,CA,40.76
JB Shuck,The Ohio State University,OH,61.83
Jed Lowrie,Stanford University,CA,83.12
Jedd Gyorko,West Virginia University,WV,40.76
Jeff Baker,Clemson University,SC,75.37
Jeff Beliveau,College of Charleston,SC,40.76
Jeff Clement,University of Southern California,CA,40.76
Jeff Fulchino,University of Connecticut,CT,71.70
Jeff Gray,Missouri State University,MO,71.70
Jeff Karstens,Grossmont College,CA,61.83
Jeff Keppinger,University of Georgia,GA,40.76
Jeff Kobernus,"University of California, Berkeley",CA,40.76
Jeff Manship,University of Notre Dame,IN,40.76
Jeff Niemann,Rice University,TX,66.25
Jeff Samardzija,University of Notre Dame,IN,40.76
Jeff Stevens,Loyola Marymount University,CA,61.83
Jemile Weeks,University of Miami,FL,87.03
Jered Weaver,California State University Long Beach,CA,40.76
Jeremy Accardo,Illinois State University,IL,76.41
Jeremy Guthrie,Brigham Young University,UT,78.19
Jeremy Hefner,Oral Roberts University,OK,40.76
Jeremy Horst,Armstrong Atlantic State University,GA,77.21
Jeremy Reed,California State University Long Beach,CA,40.76
Jermaine Curtis,"University of California, Los Angeles",CA,40.76
Jerome Williams,Southeastern Louisiana University,LA,40.76
Jerry Blevins,University of Dayton,OH,75.37
Jerry Hairston,Southern Illinois University Carbondale,IL,86.80
Jerry Sands,Catawba College,NC,81.52
Jesse Chavez,Riverside Community College,CA,40.76
Jesse Crain,University of Houston,TX,73.13
Jesse Litsch,South Florida Community College,FL,68.89
Jim Hoey,Rider University,NJ,71.70
Jim Miller,Mars Hill College,NC,68.89
Jim Thome,Illinois Central College,IL,86.51
Jimmy Nelson,University of Alabama,AL,40.76
Joba Chamberlain,University of Nebraska at Kearney,NE,40.76
Joe Beimel,Duquesne University,PA,75.37
Joe Blanton,University of Kentucky,KY,75.37
Joe Inglett,University of Nevada-Reno,NV,40.76
Joe Kelly,"University of California, Riverside",CA,40.76
Joe Mahoney,University of Richmond,VA,40.76
Joe Martinez,Boston College,MA,40.76
Joe Nathan,Stony Brook University,NY,66.25
Joe Paterson,Linfield College,OR,66.25
Joe Saunders,Virginia Polytechnic Institute and State University,VA,80.83
Joe Savery,Rice University,TX,61.83
Joe Smith,Wright State University,OH,61.83
Joe Thatcher,Indiana State University,IN,61.83
Joe Thurston,Sacramento City College,CA,61.83
Joel Pineiro,Edison College,FL,40.76
Joey Butler,University of New Orleans,LA,40.76
Joey Devine,North Carolina State University,NC,73.13
Joey Terdoslavich,California State University Long Beach,CA,40.76
John Axford,Canisius College,NY,75.37
John Baker,"University of California, Berkeley",CA,61.83
John Bowker,California State University Long Beach,CA,40.76
John Ely,Miami University of Ohio,OH,61.83
John Gast,Florida State University,FL,40.76
John Gaub,University of Minnesota,MN,71.70
John Hester,Stanford University,CA,40.76
John Lackey,Grayson County College,TX,77.21
John Lannan,Siena College,NY,40.76
John Maine,University of North Carolina at Charlotte,NC,40.76
John Mayberry,Stanford University,CA,86.80
John McDonald,University of Connecticut at Avery Point,CT,84.85
Johnny Giavotella,University of New Orleans,LA,78.19
Jon Jay,University of Miami,FL,87.94
Jon Rauch,Morehead State University,KY,66.25
Jonathan Albaladejo,Miami-Dade College,FL,40.76
Jonathan Diaz,North Carolina State University,NC,40.76
Jonathan Lucroy,University of Louisiana at Lafayette,LA,85.25
Jonathan Papelbon,Mississippi State University,MS,66.25
Jonathan Sanchez,Ohio Dominican University,OH,81.52
Jonny Gomes,Santa Rosa Junior College,CA,80.37
Jordan Brown,University of Arizona,AZ,40.76
Jordan Danks,University of Texas at Austin,TX,40.76
Jordan Pacheco,University of New Mexico,NM,40.76
Jordan Zimmermann,University of Wisconsin at Stevens Point,WI,79.05
Jordy Mercer,Oklahoma State University,OK,40.76
Jorge Posada,Calhoun Community College,AL,40.76
Jose Bautista,Chipola College,FL,89.49
Josh Bard,Texas Tech University,TX,79.05
Josh Collmenter,Central Michigan University,MI,73.13
Josh Donaldson,Auburn University,AL,40.76
Josh Edgin,The Ohio State University,OH,40.76
Josh Fields,University of Georgia,GA,40.76
Josh Harrison,University of Cincinnati,OH,86.22
Josh Kinney,Quincy University,IL,40.76
Josh Lindblom,Purdue University,IN,68.89
Josh Outman,University of Central Missouri,MO,40.76
Josh Phegley,Indiana University-Bloomington,IN,40.76
Josh Prince,University of Texas at Austin,TX,40.76
Josh Rodriguez,Rice University,TX,40.76
Josh Roenicke,"University of California, Los Angeles",CA,66.25
Josh Rupe,Louisburg College,NC,40.76
Josh Rutledge,University of Alabama,AL,40.76
Josh Satin,"University of California, Berkeley",CA,40.76
Josh Spence,Arizona State University,AZ,61.83
Josh Tomlin,Texas Tech University,TX,76.41
Josh Willingham,University of North Alabama,AL,87.72
Josh Zeid,Tulane University,LA,40.76
Juan Pierre,University of South Alabama,AL,40.76
Julio Borbon,University of Tennessee,TN,79.05
Julio Lugo,Connors State College,OK,40.76
Justin Christian,Auburn University,AL,83.81
Justin Freeman,Kennesaw State University,GA,40.76
Justin Grimm,University of Georgia,GA,40.76
Justin Hampson,Southwestern Illinois College,IL,40.76
Justin Masterson,San Diego State University,CA,68.89
Justin Maxwell,University of Maryland,MD,40.76
Justin Ruggiano,Texas A&M University,TX,82.49
Justin Smoak,University of South Carolina,SC,85.25
Justin Thomas,Youngstown State University,OH,40.76
Justin Turner,California State University Fullerton,CA,79.79
Justin Verlander,Old Dominion University,VA,40.76
Justin Wilson,California State University Fresno,CA,40.76
Kam Mickolio,College of Eastern Utah,UT,68.89
Kelly Shoppach,Baylor University,TX,83.81
Kendall Graveman,Mississippi State University,MS,40.76
Kevin Chapman,University of Florida,FL,40.76
Kevin Correia,"California Polytechnic State University, San Luis Obispo",CA,40.76
Kevin Frandsen,San Jose State University,CA,40.76
Kevin Gausman,Louisiana State University,LA,40.76
Kevin Kouzmanoff,University of Arkansas at Little Rock,AR,40.76
Kevin Mattison,University of North Carolina at Asheville,NC,40.76
Kevin Pillar,California State University Dominguez Hills,CA,40.76
Kevin Slowey,Winthrop University,SC,61.83
Kevin Whelan,Texas A&M University,TX,40.76
Kevin Youkilis,University of Cincinnati,OH,88.29
Khris Davis,California State University Fullerton,CA,40.76
Kip Wells,Baylor University,TX,40.76
Kole Calhoun,Arizona State University,AZ,40.76
Kolten Wong,University of Hawaii at Manoa,HI,40.76
Koyie Hill,Wichita State University,KS,40.76
Kris Johnson,Wichita State University,KS,40.76
Kurt Suzuki,California State University Fullerton,CA,86.80
Kyle Crockett,University of Virginia,VA,40.76
Kyle Gibson,University of Missouri Columbia,MO,40.76
Kyle Hudson,University of Illinois at Urbana-Champaign,IL,40.76
Kyle Lohse,Butte College,CA,61.83
Kyle Seager,University of North Carolina at Chapel Hill,NC,84.85
Kyle Weiland,University of Notre Dame,IN,40.76
Lance Berkman,Rice University,TX,88.29
Lance Cormier,University of Alabama,AL,73.13
Lance Lynn,University of Mississippi,MS,68.89
Lance Pendleton,Rice University,TX,66.25
Landon Powell,University of South Carolina,SC,40.76
Lew Ford,Dallas Baptist University,TX,40.76
Logan Forsythe,University of Arkansas,AR,84.16
Logan Kensing,Texas A&M University,TX,40.76
Logan Schafer,"California Polytechnic State University, San Luis Obispo",CA,76.41
Lonnie Chisenhall,University of South Carolina,SC,86.51
Louis Coleman,Louisiana State University,LA,73.13
Lucas Duda,University of Southern California,CA,85.76
Lucas Luetge,Rice University,TX,40.76
Luke Carlin,Northeastern University,MA,40.76
Luke Gregerson,St. Xavier University,IL,71.70
Luke Hochevar,University of Tennessee,TN,77.21
Luke Montz,Hill College,TX,40.76
Luke Putkonen,University of North Carolina at Chapel Hill,NC,40.76
Luke Scott,Indian River Community College,FL,80.83
Lyle Overbay,University of Nevada-Reno,NV,40.76
Manny Parra,American River College,CA,40.76
Marc Krauss,Ohio University,OH,40.76
Marc Rzepczynski,"University of California, Riverside",CA,61.83
