player,war,year,id,college,state,percentile
Josh Rutledge,0.0,2012,rutlejo01,University of Alabama,AL,40.75774971297359
Tanner Scheppers,0.0,2012,schepta01,California State University Fresno,CA,40.75774971297359
Drew Smyly,0.0,2012,smylydr01,University of Arkansas,AR,40.75774971297359
Mickey Storey,0.0,2012,storemi01,Florida Atlantic University,FL,40.75774971297359
Clete Thomas,0.0,2012,thomacl02,Auburn University,AL,40.75774971297359
Justin Thomas,0.0,2012,thomaju01,Youngstown State University,OH,40.75774971297359
Tyler Thornburg,0.0,2012,thornty01,Charleston Southern University,SC,40.75774971297359
Shawn Tolleson,0.0,2012,tollesh01,Baylor University,TX,40.75774971297359
Nick Vincent,0.0,2012,vinceni01,California State University Long Beach,CA,40.75774971297359
Kip Wells,0.0,2012,wellski01,Baylor University,TX,40.75774971297359
Justin Wilson,0.0,2012,wilsoju10,California State University Fresno,CA,40.75774971297359
Matt Adams,-0.1,2012,adamsma01,Slippery Rock University of Pennsylvania,PA,40.75774971297359
Kole Calhoun,-0.1,2012,calhoko01,Arizona State University,AZ,40.75774971297359
Brad Eldred,-0.1,2012,eldrebr01,Florida International University,FL,40.75774971297359
Christian Friedrich,-0.1,2012,friedch01,Eastern Kentucky University,KY,40.75774971297359
Yan Gomes,-0.1,2012,gomesya01,Barry University,FL,40.75774971297359
Tyler Graham,-0.1,2012,grahaty01,Oregon State University,OR,40.75774971297359
John Hester,-0.1,2012,hestejo01,Stanford University,CA,40.75774971297359
Brock Holt,-0.1,2012,holtbr01,Rice University,TX,40.75774971297359
Joe Mahoney,-0.1,2012,mahonjo01,University of Richmond,VA,40.75774971297359
Tyler Moore,-0.1,2012,moorety01,Mississippi State University,MS,40.75774971297359
A.J. Pollock,-0.1,2012,polloaj01,University of Notre Dame,IN,40.75774971297359
Clint Robinson,-0.1,2012,robincl01,Troy University,AL,40.75774971297359
Ben Sheets,-0.1,2012,sheetbe01,University of Louisiana at Monroe,LA,40.75774971297359
Ryan Wheeler,-0.1,2012,wheelry01,Loyola Marymount University,CA,40.75774971297359
Nick Green,-0.2,2012,greenni01,Georgia Perimeter College,GA,40.75774971297359
Ryan Jackson,-0.2,2012,jacksry02,University of Miami,FL,40.75774971297359
Mike Jacobs,-0.2,2012,jacobmi02,Grossmont College,CA,40.75774971297359
Zach Lutz,-0.2,2012,lutzza01,Alvernia College,PA,40.75774971297359
Kevin Mattison,-0.2,2012,mattike01,University of North Carolina at Asheville,NC,40.75774971297359
Mike Olt,-0.2,2012,oltmi01,University of Connecticut,CT,40.75774971297359
Alex Castellanos,-0.3,2012,casteal01,Belmont Abbey College,NC,40.75774971297359
Jeff Clement,-0.3,2012,clemeje01,University of Southern California,CA,40.75774971297359
Jordan Danks,-0.3,2012,danksjo02,University of Texas at Austin,TX,40.75774971297359
Ryan Flaherty,-0.3,2012,flahery01,Vanderbilt University,TN,40.75774971297359
Chris Herrmann,-0.3,2012,herrmch01,University of Miami,FL,40.75774971297359
Matt Hague,-0.4,2012,haguema01,Oklahoma State University,OK,40.75774971297359
Erik Komatsu,-0.4,2012,komater01,California State University Fullerton,CA,40.75774971297359
Rich Thompson,-0.5,2012,thompri02,James Madison University,VA,40.75774971297359
Mike Costanzo,-0.6,2012,costami01,Coastal Carolina University,SC,40.75774971297359
Jake Elmore,-0.6,2012,elmorja01,Arizona State University,AZ,40.75774971297359
Matt McBride,-1.1,2012,mcbrima02,Lehigh University,PA,40.75774971297359
David Aardsma,,2012,aardsda01,Pennsylvania State University,PA,40.75774971297359
Cody Allen,,2012,allenco01,High Point University,NC,40.75774971297359
Carter Capps,,2012,cappsca01,Mount Olive College,NC,40.75774971297359
Evan Crawford,,2012,crawfev01,Auburn University,AL,40.75774971297359
Sam Dyson,,2012,dysonsa01,University of South Carolina,SC,40.75774971297359
Casey Fien,,2012,fienca01,"California Polytechnic State University, San Luis Obispo",CA,40.75774971297359
A.J. Griffin,,2012,griffaj01,University of San Diego,CA,40.75774971297359
Justin Grimm,,2012,grimmju01,University of Georgia,GA,40.75774971297359
Deunte Heath,,2012,heathde01,University of Tennessee,TN,40.75774971297359
Chad Jenkins,,2012,jenkich01,Kennesaw State University,GA,40.75774971297359
Bobby Korecky,,2012,korecbo01,University of Michigan,MI,40.75774971297359
Nick Maronde,,2012,maronni01,University of Florida,FL,40.75774971297359
Brian Omogrosso,,2012,omogrbr01,Indiana State University,IN,40.75774971297359
David Phelps,,2012,phelpda01,University of Notre Dame,IN,40.75774971297359
Stephen Pryor,,2012,pryorst01,Tennessee Technological University,TN,40.75774971297359
Luke Putkonen,,2012,putkolu01,University of North Carolina at Chapel Hill,NC,40.75774971297359
Dan Straily,,2012,straida01,Marshall University,WV,40.75774971297359
Andrew Taylor,,2012,tayloan01,North Carolina State University,NC,40.75774971297359
Donnie Veal,,2012,vealdo01,Pima Community College,AZ,40.75774971297359
Ryan Verdugo,,2012,verdury01,Louisiana State University,LA,40.75774971297359
Adam Warren,,2012,warread01,University of North Carolina at Chapel Hill,NC,40.75774971297359
Thad Weber,,2012,weberth01,University of Nebraska at Lincoln,NE,40.75774971297359
Jedd Gyorko,2.3,2013,gyorkje01,West Virginia University,WV,40.75774971297359
Brad Miller,2.0,2013,millebr02,Clemson University,SC,40.75774971297359
Ryan Goins,1.4,2013,goinsry01,Dallas Baptist University,TX,40.75774971297359
Ed Lucas,1.4,2013,lucased01,Dartmouth College,NH,40.75774971297359
Khris Davis,1.3,2013,daviskh01,California State University Fullerton,CA,40.75774971297359
Evan Gattis,0.8,2013,gattiev01,,,40.75774971297359
Tommy Medica,0.8,2013,medicto01,Santa Clara University,CA,40.75774971297359
Marcus Semien,0.7,2013,semiema01,"University of California, Berkeley",CA,40.75774971297359
Doug Bernier,0.6,2013,bernido01,Cuesta College,CA,40.75774971297359
Corky Miller,0.5,2013,milleco01,San Bernardino Valley College,CA,40.75774971297359
Joey Butler,0.2,2013,butlejo04,University of New Orleans,LA,40.75774971297359
Gerrit Cole,0.2,2013,colege01,"University of California, Los Angeles",CA,40.75774971297359
Mike Zunino,0.2,2013,zuninmi01,University of Florida,FL,40.75774971297359
Brian Flynn,0.1,2013,flynnbr01,Wichita State University,KS,40.75774971297359
Phil Gosselin,0.1,2013,gosseph01,University of Virginia,VA,40.75774971297359
Mike Kickham,0.1,2013,kickhmi01,Missouri State University,MO,40.75774971297359
Kevin Pillar,0.1,2013,pillake01,California State University Dominguez Hills,CA,40.75774971297359
Cameron Rupp,0.1,2013,ruppca01,University of Texas at Austin,TX,40.75774971297359
Tony Sanchez,0.1,2013,sanchto01,Boston College,MA,40.75774971297359
Zach Walters,0.1,2013,walteza01,University of San Diego,CA,40.75774971297359
Steve Ames,0.0,2013,amesst01,Gonzaga University,WA,40.75774971297359
Brandon Bantz,0.0,2013,bantzbr01,Dallas Baptist University,TX,40.75774971297359
Chad Bettis,0.0,2013,bettich01,Texas Tech University,TX,40.75774971297359
Vic Black,0.0,2013,blackvi01,Dallas Baptist University,TX,40.75774971297359
Charles Brewer,0.0,2013,brewech01,"University of California, Los Angeles",CA,40.75774971297359
Billy Buckner,0.0,2013,bucknbi02,University of South Carolina,SC,40.75774971297359
Hiram Burgos,0.0,2013,burgohi01,Bethune-Cookman College,FL,40.75774971297359
Michael Choice,0.0,2013,choicmi01,University of Texas at Arlington,TX,40.75774971297359
Nick Christiani,0.0,2013,chrisni01,Vanderbilt University,TN,40.75774971297359
Preston Claiborne,0.0,2013,claibpr01,Tulane University,LA,40.75774971297359
Neal Cotts,0.0,2013,cottsne01,Illinois State University,IL,40.75774971297359
Brandon Cumpton,0.0,2013,cumptbr01,Georgia Institute of Technology,GA,40.75774971297359
Jermaine Curtis,0.0,2013,curtije01,"University of California, Los Angeles",CA,40.75774971297359
Erik Davis,0.0,2013,daviser02,Stanford University,CA,40.75774971297359
Matt den Dekker,0.0,2013,dendema01,University of Florida,FL,40.75774971297359
Derek Dietrich,0.0,2013,dietrde01,Georgia Institute of Technology,GA,40.75774971297359
Jake Dunning,0.0,2013,dunnija01,Indiana University-Bloomington,IN,40.75774971297359
Josh Fields,0.0,2013,fieldjo03,University of Georgia,GA,40.75774971297359
Justin Freeman,0.0,2013,freemju02,Kennesaw State University,GA,40.75774971297359
John Gast,0.0,2013,gastjo01,Florida State University,FL,40.75774971297359
Kevin Gausman,0.0,2013,gausmke01,Louisiana State University,LA,40.75774971297359
Sonny Gray,0.0,2013,grayso01,Vanderbilt University,TN,40.75774971297359
Heath Hembree,0.0,2013,hembrhe01,College of Charleston,SC,40.75774971297359
Sean Henn,0.0,2013,hennse01,McLennan Community College,TX,40.75774971297359
Colt Hynes,0.0,2013,hynesco01,Texas Tech University,TX,40.75774971297359
Phil Irwin,0.0,2013,irwinph01,University of Mississippi,MS,40.75774971297359
Kris Johnson,0.0,2013,johnskr01,Wichita State University,KS,40.75774971297359
Nate Karns,0.0,2013,karnsna01,Texas Tech University,TX,40.75774971297359
Bobby LaFromboise,0.0,2013,lafrobo01,University of New Mexico,NM,40.75774971297359
Matt Langwell,0.0,2013,langwma01,Rice University,TX,40.75774971297359
Tyler Lyons,0.0,2013,lyonsty01,Oklahoma State University,OK,40.75774971297359
John Maine,0.0,2013,mainejo01,University of North Carolina at Charlotte,NC,40.75774971297359
Seth Maness,0.0,2013,manesse01,East Carolina University,NC,40.75774971297359
Jimmy Nelson,0.0,2013,nelsoji02,University of Alabama,AL,40.75774971297359
James Paxton,0.0,2013,paxtoja01,University of Kentucky,KY,40.75774971297359
Shane Peterson,0.0,2013,petersh01,California State University Long Beach,CA,40.75774971297359
Evan Reed,0.0,2013,reedev01,"California Polytechnic State University, San Luis Obispo",CA,40.75774971297359
Ryan Reid,0.0,2013,reidry01,James Madison University,VA,40.75774971297359
Chris Robinson,0.0,2013,robinch02,University of Illinois at Urbana-Champaign,IL,40.75774971297359
Michael Roth,0.0,2013,rothmi01,University of South Carolina,SC,40.75774971297359
Burch Smith,0.0,2013,smithbu03,University of Oklahoma,OK,40.75774971297359
Nick Tepesch,0.0,2013,tepesni01,University of Missouri Columbia,MO,40.75774971297359
Joey Terdoslavich,0.0,2013,terdojo01,California State University Long Beach,CA,40.75774971297359
Caleb Thielbar,0.0,2013,thielca01,South Dakota State University,SD,40.75774971297359
Ross Wolf,0.0,2013,wolfro01,Wabash Valley College,IL,40.75774971297359
Rob Wooten,0.0,2013,wootero01,University of North Carolina at Chapel Hill,NC,40.75774971297359
Brandon Workman,0.0,2013,workmbr01,University of Texas at Austin,TX,40.75774971297359
Jordan Brown,-0.1,2013,brownjo05,University of Arizona,AZ,40.75774971297359
Todd Cunningham,-0.1,2013,cunnito01,Jacksonville State University,AL,40.75774971297359
Jonathan Diaz,-0.1,2013,diazjo02,North Carolina State University,NC,40.75774971297359
David Hale,-0.1,2013,haleda02,Princeton University,NJ,40.75774971297359
Donovan Hand,-0.1,2013,handdo01,Jacksonville State University,AL,40.75774971297359
Josh Prince,-0.1,2013,princjo01,University of Texas at Austin,TX,40.75774971297359
Steve Susdorf,-0.1,2013,susdost01,California State University Fresno,CA,40.75774971297359
Michael Wacha,-0.1,2013,wachami01,Texas A&M University,TX,40.75774971297359
David Adams,-0.2,2013,adamsda02,University of Virginia,VA,40.75774971297359
Cody Asche,-0.2,2013,ascheco01,University of Nebraska at Lincoln,NE,40.75774971297359
Jackie Bradley Jr.,-0.3,2013,bradlja02,University of South Carolina,SC,40.75774971297359
Nick Buss,-0.3,2013,bussni01,University of Southern California,CA,40.75774971297359
Cody Clark,-0.3,2013,clarkco01,University of Arkansas,AR,40.75774971297359
Tuffy Gosewisch,-0.3,2013,gosewtu01,Arizona State University,AZ,40.75774971297359
Jeff Kobernus,-0.3,2013,koberje01,"University of California, Berkeley",CA,40.75774971297359
Marc Krauss,-0.3,2013,krausma01,Ohio University,OH,40.75774971297359
Luke Montz,-0.3,2013,montzlu01,Hill College,TX,40.75774971297359
Alex Wood,-0.3,2013,woodal02,University of Georgia,GA,40.75774971297359
Nate Freiman,-0.4,2013,freimna01,Duke University,NC,40.75774971297359
Brendan Harris,-0.4,2013,harribr01,College of William and Mary,VA,40.75774971297359
Grant Green,-0.5,2013,greengr01,University of Southern California,CA,40.75774971297359
Roger Kieschnick,-0.5,2013,kiescro01,Texas Tech University,TX,40.75774971297359
Chris McGuiness,-0.5,2013,mcguich01,The Citadel,SC,40.75774971297359
Kolten Wong,-0.5,2013,wongko01,University of Hawaii at Manoa,HI,40.75774971297359
Josh Phegley,-0.6,2013,phegljo01,Indiana University-Bloomington,IN,40.75774971297359
Andrew Albers,,2013,alberan01,University of Kentucky,KY,40.75774971297359
Mike Belfiore,,2013,belfimi01,Boston College,MA,40.75774971297359
Chris Bootcheck,,2013,bootcch01,Auburn University,AL,40.75774971297359
Kevin Chapman,,2013,chapmke02,University of Florida,FL,40.75774971297359
Chris Dwyer,,2013,dwyerch01,Clemson University,SC,40.75774971297359
Kyle Gibson,,2013,gibsoky01,University of Missouri Columbia,MO,40.75774971297359
Preston Guilmet,,2013,guilmpr01,University of Arizona,AZ,40.75774971297359
Erik Johnson,,2013,johnser04,"University of California, Berkeley",CA,40.75774971297359
Donnie Joseph,,2013,josepdo01,University of Houston,TX,40.75774971297359
Logan Kensing,,2013,kensilo01,Texas A&M University,TX,40.75774971297359
Charles Leesman,,2013,leesmch01,Xavier University,OH,40.75774971297359
Jake Petricka,,2013,petrija01,Indiana State University,IN,40.75774971297359
Daniel Stange,,2013,stangda01,"University of California, Riverside",CA,40.75774971297359
Duke Welker,,2013,welkedu01,University of Arkansas,AR,40.75774971297359
Alex Wilson,,2013,wilsoal01,Texas A&M University,TX,40.75774971297359
Steven Wright,,2013,wrighst01,University of Hawaii at Manoa,HI,40.75774971297359
Josh Zeid,,2013,zeidjo01,Tulane University,LA,40.75774971297359
Marco Gonzales,0.2,2014,gonzama02,Gonzaga University,WA,40.75774971297359
Brian Schlitter,0.1,2014,schlibr01,College of Charleston,SC,40.75774971297359
R.J. Alvarez,0.0,2014,alvarrj01,Florida Atlantic University,FL,40.75774971297359
Kyle Crockett,0.0,2014,crockky01,University of Virginia,VA,40.75774971297359
Corey Knebel,0.0,2014,knebeco01,University of Texas at Austin,TX,40.75774971297359
Jason Lane,0.0,2014,laneja01,Santa Rosa Junior College,CA,40.75774971297359
Dominic Leone,0.0,2014,leonedo01,Clemson University,SC,40.75774971297359
Aaron Poreda,0.0,2014,poredaa01,University of San Francisco,CA,40.75774971297359
Marcus Stroman,0.0,2014,stromma01,Duke University,NC,40.75774971297359
Buck Farmer,,2014,farmebu01,Georgia Institute of Technology,GA,40.75774971297359
Brandon Finnegan,,2014,finnebr01,Texas Christian University,TX,40.75774971297359
Kendall Graveman,,2014,graveke01,Mississippi State University,MS,40.75774971297359
Chad Huffman,-0.1,2017,huffmch01,Texas Christian University,TX,40.75774971297359
